keyword,probability
ABORT,9.682416731216112e-05
ACTION,0.0002807900852052672
ADD,0.00010650658404337723
AFTER,0.00010650658404337723
ALL,0.0004066615027110767
ALTER,9.682416731216112e-05
ALWAYS,9.682416731216112e-05
ANALYZE,9.682416731216112e-05
AND,0.05035824941905499
AS,0.17769171185127808
ASC,0.0014620449264136329
ATTACH,9.682416731216112e-05
AUTOINCREMENT,9.682416731216112e-05
BEFORE,0.00010650658404337723
BEGIN,9.682416731216112e-05
BETWEEN,0.003127420604182804
BY,0.02713981409759876
CASCADE,9.682416731216112e-05
CASE,0.009934159566227731
CAST,0.009053059643687064
CHECK,9.682416731216112e-05
COLLATE,9.682416731216112e-05
COLUMN,9.682416731216112e-05
COMMIT,9.682416731216112e-05
CONFLICT,9.682416731216112e-05
CONSTRAINT,9.682416731216112e-05
CREATE,9.682416731216112e-05
CROSS,0.00010650658404337723
CURRENT,0.0021010844306738963
CURRENT_DATE,9.682416731216112e-05
CURRENT_TIME,9.682416731216112e-05
CURRENT_TIMESTAMP,0.00017428350116189002
DATABASE,0.00016460108443067388
DEFAULT,9.682416731216112e-05
DEFERRABLE,9.682416731216112e-05
DEFERRED,9.682416731216112e-05
DELETE,9.682416731216112e-05
DESC,0.014252517428350117
DETACH,9.682416731216112e-05
DISTINCT,0.010853989155693262
DO,0.00019364833462432224
DROP,9.682416731216112e-05
EACH,9.682416731216112e-05
ELSE,0.009082106893880712
END,0.010147172734314485
ESCAPE,9.682416731216112e-05
EXCEPT,9.682416731216112e-05
EXCLUDE,9.682416731216112e-05
EXCLUSIVE,9.682416731216112e-05
EXISTS,9.682416731216112e-05
EXPLAIN,9.682416731216112e-05
FAIL,0.000261425251742835
FILTER,0.00010650658404337723
FIRST,0.0016750580945003872
FOLLOWING,9.682416731216112e-05
FOR,0.0007939581719597212
FOREIGN,0.00010650658404337723
FROM,0.09950619674670798
FULL,9.682416731216112e-05
GENERATED,9.682416731216112e-05
GLOB,9.682416731216112e-05
GROUP,0.010447327652982185
GROUPS,0.00010650658404337723
HAVING,0.0014426800929512006
IF,0.00013555383423702555
IGNORE,9.682416731216112e-05
IMMEDIATE,9.682416731216112e-05
IN,0.0023528272656855153
INDEX,0.00015491866769945777
INDEXED,9.682416731216112e-05
INITIALLY,9.682416731216112e-05
INNER,0.09244771494965143
INSERT,9.682416731216112e-05
INSTEAD,9.682416731216112e-05
INTERSECT,9.682416731216112e-05
INTO,0.00010650658404337723
IS,0.0029918667699457783
ISNULL,9.682416731216112e-05
JOIN,0.09298024786986832
KEY,0.00010650658404337723
LAST,0.0016363284275755228
LEFT,0.0006293570875290473
LIKE,0.007707203718048025
LIMIT,0.01780596436870643
MATCH,0.0013071262587141751
MATERIALIZED,9.682416731216112e-05
NATURAL,0.00010650658404337723
NO,0.0005518977536793184
NOT,0.002168861347792409
NOTHING,0.00010650658404337723
NOTNULL,9.682416731216112e-05
NULL,0.0047153369481022465
NULLS,9.682416731216112e-05
OF,0.002188226181254841
OFFSET,9.682416731216112e-05
ON,0.09300929512006197
OR,0.0015879163439194424
ORDER,0.018512780790085205
OTHERS,9.682416731216112e-05
OUTER,9.682416731216112e-05
OVER,0.0002904725019364833
PARTITION,0.00015491866769945777
PLAN,0.00011618900077459334
PRAGMA,9.682416731216112e-05
PRECEDING,9.682416731216112e-05
PRIMARY,0.00014523625096824166
QUERY,0.00010650658404337723
RAISE,9.682416731216112e-05
RANGE,9.682416731216112e-05
RECURSIVE,9.682416731216112e-05
REFERENCES,9.682416731216112e-05
REGEXP,9.682416731216112e-05
REINDEX,9.682416731216112e-05
RELEASE,0.00011618900077459334
RENAME,9.682416731216112e-05
REPLACE,0.0014620449264136329
RESTRICT,9.682416731216112e-05
RETURNING,9.682416731216112e-05
RIGHT,0.00019364833462432224
ROLLBACK,9.682416731216112e-05
ROW,9.682416731216112e-05
ROWS,9.682416731216112e-05
SAVEPOINT,9.682416731216112e-05
SELECT,0.09967079783113865
SET,9.682416731216112e-05
TABLE,9.682416731216112e-05
TEMP,9.682416731216112e-05
TEMPORARY,9.682416731216112e-05
THEN,0.010001936483346243
TIES,9.682416731216112e-05
TO,0.0008133230054221534
TRANSACTION,0.0006487219209914795
TRIGGER,9.682416731216112e-05
UNBOUNDED,9.682416731216112e-05
UNION,0.0004066615027110767
UNIQUE,0.00011618900077459334
UPDATE,9.682416731216112e-05
USING,0.0002807900852052672
VACUUM,9.682416731216112e-05
VALUES,0.00011618900077459334
VIEW,0.00018396591789310613
VIRTUAL,0.00011618900077459334
WHEN,0.010079395817195972
WHERE,0.08288148721920992
WINDOW,0.00011618900077459334
WITH,0.0002711076684740511
WITHOUT,0.00013555383423702555
