original_text,rejected_translation,entities_found,entities,filter_reason,quality_stage,length_ratio,detected_language,semantic_similarity,back_translation_similarity,combined_similarity,back_translation_text,original_length,translation_length
What are the villains associated with each story and how many times does each villain appear?,Her hikayeye hangi kötü adamlar dahil oluyor ve her kötü insan kaç kez ortaya çıkıyor?,0,,semantic_back_review,semantic_back_review,0.9247311827956989,tr,0.6912667751312256,0.6673672795295715,0.6769270777702332,"What bad guys are involved in every story, and how many times does every bad person show up?",93,86
"For episodes airing in October, what are the titles along with their count of airings?","Ekim ayında yayınlanan bölümler için, yayın sayısının yanı sıra başlıklar ne?",0,,semantic_back_review,semantic_back_review,0.8953488372093024,tr,0.7720575928688049,0.6472597718238831,0.6971789002418518,What are the chapters and headings for the October issue?,86,77
How many unique challenges did each winning candidate pass successfully?,Kaç tane benzersiz zorlukla başarılı bir şekilde başarılı oldu?,0,,semantic_back_review,semantic_back_review,0.875,tr,0.7865997552871704,0.6642086505889893,0.7131650924682618,How many unique challenges have he successfully overcome?,72,63
Determine the director with the maximum number of episodes directed and give the episode count.,Yönetmenin en fazla bölümden birini belirle ve bölüm sayısını ver.,0,,semantic_back_review,semantic_back_review,0.6947368421052632,tr,0.8494842052459717,0.5768536329269409,0.6859058618545533,Select one of the most departments of the director and give the number of departments.,95,66
What timeslot rankings correspond to episodes that appear more than once in the list?,Listeye birden fazla kez yer alan bölümlere göre hangi zaman sıralamaları geçerli?,0,,semantic_back_review,semantic_back_review,0.9647058823529412,tr,0.7248449921607971,0.6471952795982361,0.6782551646232605,What time sequences are valid for items that appear on the list more than once?,85,82
"Find the dates, founders, extroversion scales, people-task orientation scales, introverted task-oriented, extroverted task-oriented, extroverted relationship-oriented, and moderate values for entries where introverted task-oriented is earth and introverted relationship-oriented is water, or where introverted task-oriented is either black bile or yellow bile and introverted relationship-oriented is phlegm.","Tarihleri, kurucuları, dışa dönüklik ölçeklerini, insan-iş yönelim ölçeklerini, içe dönük görev yönelimli, dışa dönük görev yönelimli, dışa dönük ilişki yönelimli ve orta derecede değerleri, içe dönük görev yönelimli yeryüzü ve içe dönük ilişki yönelimli su olduğu veya içe dönük görev yönelimli siyah bile veya sarı bile ve içe dönük ilişki yönelimli olan flem olduğu girişler için bulun.",0,,semantic_back_review,semantic_back_review,0.9534313725490197,tr,0.4909842908382416,0.7321662306785583,0.6356934547424317,"Find the dates, founders, outward-facing scales, human-business orientation scales, inward-facing task-oriented, outward-facing task-oriented, outward-facing relationship-oriented and moderately-valued, inward-facing task-oriented land and inward-facing water, or even inward-facing task-oriented black or yellow and inward-facing flem entries.",408,389
"Calculate the average rating and identify the highest share for each episode listed, sorted by the average rating in descending order.",Ortalama dereceliyi hesaplayın ve aşağıdaki sırada ortalama dereceliğe göre sıralanan listelenen her bölüm için en yüksek payı belirleyin.,0,,semantic_back_review,semantic_back_review,1.0298507462686568,tr,0.6981274485588074,0.7225949168205261,0.7128079295158386,Calculate the average grade and determine the highest share for each section listed in the following order by average grade.,134,138
"For each venue where the season result was a premier, could you tell me the venue and the total margin achieved?","Mevsim sonuçlarının ilk olduğu her bir mekan için, bana mekan ve elde edilen toplam farkı söyleyebilir misiniz?",0,,semantic_back_review,semantic_back_review,0.9910714285714286,tr,0.5659827589988708,0.6537168622016907,0.6186232209205627,"For each location where the season results are first, can you tell me the location and the total difference?",112,111
"For each race and its associated location, provide the total number of grands prix held.","Her yarış ve ilgili konumu için, düzenlenen büyük ödüllerin toplam sayısını belirtin.",0,,semantic_back_review,semantic_back_review,0.9659090909090909,tr,0.7597336769104004,0.6656768918037415,0.703299605846405,"For each competition and related position, specify the total number of grand prizes held.",88,85
Determine which episode has aired the most frequently and give the episode's title and the count of its appearances.,Hangi bölümün en sık yayınlandığını belirleyin ve bölümün başlığını ve görünüm sayısını verin.,0,,semantic_back_review,semantic_back_review,0.8103448275862069,tr,0.7685338854789734,0.5345873236656189,0.6281659483909607,"Identify the most frequently published section, and specify the title and number of views.",116,94
What is the total number of vacancies for each district where the vacator's reason for change was either death or the position became vacant?,Boşananın değişikliğin nedeni ölüm ya da pozisyonun boş kalması olduğu her bölge için toplam boşluk sayısı nedir?,0,,semantic_back_review,semantic_back_review,0.8014184397163121,tr,0.6572567224502563,0.7487491965293884,0.7121522068977356,What is the total number of vacancies for each area where the cause of the change in the divorce is death or vacancy?,141,113
"What is the season, winner, score, runner-up, lost to eventual winner, and lost to eventual runner-up where the winner or runner-up contains 'Gorée' and the eventual winner or runner-up contains 'Conakry'?","Meydan, kazananın veya ikinci katının içinde ""Gorée"" ve kazananın veya ikinci katın içinde ""Konakri"" bulunan sezon nedir?",3,"Gorée, Conakry, Conakry'?",semantic_back_review,semantic_back_review,0.5902439024390244,tr,0.729027509689331,0.5883872509002686,0.6446433544158936,"What season is the winner or the second floor having ""Gorée"" and the winner or the second floor having ""Konakri""?",205,121
"What is the average mass and the last written withdrawal for each composition, considering only the composition with the highest number of withdrawals?","Her kompozisyon için ortalama kütle ve son yazılı çekim ne kadardır, yalnızca en fazla çekim sayısına sahip kompozisyon göz önüne alındığında?",0,,semantic_back_review,semantic_back_review,0.9403973509933775,tr,0.7080032825469971,0.6225983500480652,0.656760323047638,"What is the average mass and final written gravity for each composition, given only the composition with the greatest number of gravities?",151,142
