original_text,translation,entities_found,entities,filtered,length_ratio,detected_language,semantic_similarity,back_translation_similarity,combined_similarity,quality_stage,filter_reason
What is the total number of slogans for each state or territory listed in the table?,"Сколько слоган для каждого государства или территории, перечисленных в таблице?",0,,False,0.9404761904761905,ru,0.9164978861808777,0.9783389568328857,0.9536025285720826,semantic_back_pass,
"What are the manufacturers, models, fleet series (quantity), powertrains, and fuel propulsion for each distinct group of these attributes?","Какие производители, модели, серии флота (количество), силовые установки и двигатель топлива для каждой отдельной группы этих атрибутов?",0,,False,0.9855072463768116,ru,0.931056559085846,0.9409189224243164,0.9369739770889283,semantic_back_pass,
Which positions have multiple players on the roster and what is the count of players per position?,Какие позиции имеют нескольких игроков в списке и сколько игроков на одну позицию?,0,,False,0.8367346938775511,ru,0.8906137347221375,0.903965950012207,0.8986250638961792,semantic_back_pass,
Could you provide me with the details of players who spent 2005 or 2006 years with the Toronto Raptors?,"Вы можете дать мне подробности игроков, которые провели 2005 или 2006 года с Торонто Рэпторс?",1,Toronto Raptors,False,0.9029126213592233,ru,0.9229695200920105,0.9886782765388489,0.9623947739601135,semantic_back_pass,
What is the breakdown of positions and the count of players associated with each position in the Toronto Raptors roster?,"Какова разбивка позиций и количество игроков, связанных с каждой позицией в росте Торонто Рэпторс?",2,"Toronto, Toronto Raptors",False,0.8166666666666667,ru,0.8529438376426697,0.9097580909729004,0.8870323896408081,semantic_back_pass,
"For each dam type, what is the average height and the maximum height?",Какая для каждого типа плотины средняя высота и максимальная высота?,0,,False,0.9855072463768116,ru,0.7740340828895569,0.9839696884155273,0.8999954462051392,semantic_back_pass,
"What organizations were founded between 1988 and 2011, including their member name, headquarters location, classification, number of chapters, and year of founding?","Какие организации были основаны в период с 1988 по 2011 год, в том числе название членов, местонахождение штаб-квартиры, классификация, количество глав и год основания?",0,,False,1.024390243902439,ru,0.9743116497993469,0.9774968028068542,0.9762227416038514,semantic_back_pass,
"What were the average incidences of typhus, typhoid fever, relapsing fever, smallpox, and malaria each year, and what was the total average for each disease across the years?","Какие были средние случаи тифа, тифной лихорадки, рецидивирующей лихорадки, оспы и малярии каждый год и каковы были общие средние случаи каждой болезни за эти годы?",0,,False,0.9425287356321839,ru,0.8931072950363159,0.9420316815376282,0.9224619269371033,semantic_back_pass,
"Can you provide the season number, network, start date, end date, TV season rank, and the cumulative number of viewers for each season, sorted by TV season rank in descending order?","Можете ли вы указать номер сезона, сеть, дату начала, окончания, рейтинг телевизионного сезона и совокупное количество зрителей для каждого сезона, сортированное по рейтингу телевизионного сезона в порядке, которое снижается?",0,,False,1.2430939226519337,ru,0.9292721152305603,0.9493618011474609,0.9413259267807006,semantic_back_pass,
"Could you provide the total population, number of Chinese, Filipino, Indian, Japanese, Korean, Vietnamese, and Other Asian residents for each state or territory?","Можете ли вы указать общее население, количество китайцев, филиппинцев, индейцев, японцев, корейцев, вьетнамцев и других азиатских жителей для каждого государства или территории?",7,"Chinese, Indian, Japanese, Korean, Vietnamese, Asian, Filipino",False,1.1055900621118013,ru,0.9087114930152893,0.9663174152374268,0.9432750463485717,semantic_back_pass,
"What is the population density (population per square kilometer) for each regional county municipality in the 2011 census, using the land area given in kilometers squared, and sorted by density in descending order?","Какова плотность населения (население на квадратный километр) для каждого регионального округа муниципалитета в переписи 2011 года, используя площадь земли, данную в квадратных километрах, и сортируемый по плотности в нисходящем порядке?",0,,False,1.1074766355140186,ru,0.9544642567634583,0.9869272708892822,0.9739420652389525,semantic_back_pass,
"Which counties have a higher than 50 percent rate of Irish speakers, including their county names, populations, and the percentage of Irish speakers?","В каких графствах более 50 процентов ирландцев, включая названия графств, население и процент ирландцев?",1,Irish,False,0.697986577181208,ru,0.8411796689033508,0.8410804271697998,0.8411201238632202,semantic_back_pass,
"Which UN operations had Australian involvement more than once, and what is the total count of times Australian forces were engaged?","Какие операции ООН были вовлечены Австралией более одного раза, и сколько раз в общей сложности вовлечены австралийские войска?",2,"UN, Australian",False,0.9694656488549618,ru,0.9650941491127014,0.9554838538169861,0.9593279719352723,semantic_back_pass,
"Calculate the total score for Northern Ireland, Northern England, Scotland, Southern England, and Wales combined, and find the difference between the sum of Mobile votes and this total.","Вычислить общий балл Северной Ирландии, Северной Англии, Шотландии, Южная Англии и Уэльса вместе взятые, и найти разницу между суммой мобильных голосов и этой суммой.",6,"Northern Ireland, Northern England, Scotland, Southern England, Wales, Mobile",False,0.8972972972972973,ru,0.8997243046760559,0.993590772151947,0.9560441851615906,semantic_back_pass,
What is the total number of players for each position listed in the table?,"Какова общее количество игроков для каждой позиции, перечисленной в таблице?",0,,False,1.027027027027027,ru,0.9741908311843872,0.9999999403953552,0.989676296710968,semantic_back_pass,
What is the distribution of players across positions in the 1994 NHL Entry Draft?,Какова распределение игроков по позициям в драфте NHL 1994 года?,2,"Draft, NHL",False,0.7901234567901234,ru,0.9131180644035339,0.962679386138916,0.9428548574447633,semantic_back_pass,
"What is the count of players per position in the 1994 NHL Entry Draft, sorted in descending order?","Какова численность игроков на каждой позиции в драфте NHL 1994 года, сортированная в порядке, которое снижается?",1,NHL,False,1.1428571428571428,ru,0.8948513269424438,0.9567995071411133,0.9320202350616456,semantic_back_pass,
"For picks greater than 182, what are the corresponding player names, positions, and nationalities?","Для выборов больше 182, каковы соответствующие имена игроков, позиции и национальности?",0,,False,0.8877551020408163,ru,0.7910804748535156,0.8133445382118225,0.8044389128684997,semantic_back_pass,
"List the districts and the dates when successors were seated for vacators who left their positions between the dates of death or resignation, and the successors were not listed as Vacant?","Перечислить районы и даты, когда были назначены преемники для вакантных лиц, которые покинули свои должности между датами смерти или отставки, и преемники не были перечислены как вакантные?",0,,False,1.0106951871657754,ru,0.8632290959358215,0.9501097202301025,0.9153574705123901,semantic_back_pass,
"What are the average 1981 Census, 1991 Census, 2001 Census, 2010 Est., and the census increase period for each city?","Какой средний показатель переписи населения 1981 года, переписи населения 1991 года, переписи населения 2001 года, 2010 года, и период увеличения переписи населения для каждого города?",0,,False,1.5862068965517242,ru,0.8783900141716003,0.8989457488059998,0.89072345495224,semantic_back_pass,
What is the total number of trains built for each class listed in the table?,"Сколько поездов было построено для каждого класса, перечисленного в таблице?",0,,False,1.0,ru,0.947625994682312,0.9599620699882507,0.9550276398658752,semantic_back_pass,
"For each driver's position and series, what is the total points and the highest winnings, sorted by total points and then by largest winnings in descending order?","Какие для каждой позиции и серии водителя самые большие и самые большие выигрыши, разбившись по сумме и последующим по наибольшим выигрышам в порядке снижения?",0,,False,0.9814814814814815,ru,0.850960373878479,0.8851251006126404,0.8714592099189759,semantic_back_pass,
