nl,sql,db_sql,table_id
"Bitte geben Sie die Anzahl der Zeilen an, deren Anmerkungen ""Kein Slogan für aktuelle Serien"" sind, gruppiert durch Anmerkungen, angeordnet nach der daraus resultierenden Anzahl in abnehmender Reihenfolge, eingeschränkt auf fünf Ergebnisse.","
SELECT `Notes`, COUNT(*) AS `Count`
FROM `table_1_1000181_1`
WHERE `Notes` = 'No slogan on current series'
GROUP BY `Notes`
ORDER BY `Count` DESC
LIMIT 5;
","SELECT col5, COUNT(*) AS `Count`
FROM `table_1_1000181_1`
WHERE col5 LIKE '%No slogan%'
GROUP BY col5
ORDER BY `Count` DESC
LIMIT 5;",table_1_1000181_1
"Aus den Flottenregistern wird aufgeführt, wie viele Einträge pro Hersteller vorhanden sind, aber nur Hersteller mit mehr als einem Eintrag aufgenommen, die Ergebnisse nach der Anzahl der Einträge von kleinster bis größter sortiert und bis zu fünf Hersteller zurückgegeben.","
SELECT `Manufacturer`, COUNT(*)
FROM `table_1_10007452_3`
WHERE 1=1
GROUP BY `Manufacturer`
HAVING COUNT(*) > 1
ORDER BY 2
LIMIT 5;
","
SELECT col1, COUNT(*)
FROM `table_1_10007452_3`
WHERE 1=1
GROUP BY col1
HAVING COUNT(*) > 1
ORDER BY 2
LIMIT 5;
",table_1_10007452_3
"Für jede Nationalität, die auf der Raptors All-Time-Liste repräsentiert wird, wie viele Spieler gibt es und welches ist das früheste Jahr, in dem ein Spieler dieser Nationalität in Toronto angefangen hat?","
SELECT
  `Nationality` AS `Nation`,
  COUNT(*) AS `Num Players`,
  MIN(CAST(substr(`Years in Toronto`, 1, 4) AS INTEGER)) AS `Earliest Start Year`,
  CASE
    WHEN MIN(CAST(substr(`Years in Toronto`, 1, 4) AS INTEGER)) < 2000 THEN '1990s'
    WHEN MIN(CAST(substr(`Years in Toronto`, 1, 4) AS INTEGER)) < 2010 THEN '2000s'
    ELSE '2010s+'
  END AS `Era`,
  GROUP_CONCAT(DISTINCT `School/Club Team`) AS `Feeding Schools/Clubs`,
  SUM(CASE WHEN `Years in Toronto` LIKE '%,%' THEN 1 ELSE 0 END) AS `MultiStintCount`
FROM `table_1_10015132_1`
GROUP BY `Nationality`
ORDER BY `Era`, `Nation`;
","
SELECT
  col2 AS `Nation`,
  COUNT(*) AS `Num Players`,
  MIN(CAST(substr(col4, 1, 4) AS INTEGER)) AS `Earliest Start Year`,
  CASE
    WHEN MIN(CAST(substr(col4, 1, 4) AS INTEGER)) < 2000 THEN '1990s'
    WHEN MIN(CAST(substr(col4, 1, 4) AS INTEGER)) < 2010 THEN '2000s'
    ELSE '2010s+'
  END AS `Era`,
  GROUP_CONCAT(DISTINCT col5) AS `Feeding Schools/Clubs`,
  SUM(CASE WHEN col4 LIKE '%,%' THEN 1 ELSE 0 END) AS `MultiStintCount`
FROM `table_1_10015132_1`
GROUP BY col2
ORDER BY `Era`, `Nation`;
",table_1_10015132_1
"Listen Sie jede einzelne Position mit der Anzahl der Spieler in dieser Position auf, wobei nur die ersten fünf Positionen nach Anzahl angezeigt werden.","
SELECT DISTINCT `Position`, COUNT(*) AS `cnt`
FROM `table_1_10015132_21`
WHERE 1=1
GROUP BY `Position`
ORDER BY `cnt` DESC
LIMIT 5;
","
SELECT DISTINCT col3, COUNT(*) AS `cnt`
FROM `table_1_10015132_21`
WHERE 1=1
GROUP BY col3
ORDER BY `cnt` DESC
LIMIT 5;
",table_1_10015132_21
"Listen Sie jede einzelne Position mit der Anzahl der Spieler in dieser Position auf, wobei nur die ersten fünf Positionen nach Anzahl angezeigt werden.","
SELECT DISTINCT `Role`, COUNT(*) AS `cnt`
FROM `table_m_1764456856057_36b86edc_10015132_21`
WHERE 1=1
GROUP BY `Role`
ORDER BY `cnt` DESC
LIMIT 5;
","
SELECT DISTINCT `Role`, COUNT(*) AS `cnt`
FROM `table_m_1764456856057_36b86edc_10015132_21`
WHERE 1=1
GROUP BY `Role`
ORDER BY `cnt` DESC
LIMIT 5;
",m_1764456856057_36b86edc_10015132-21
"Listen Sie die Raptors All-Time-Liste-Einträge mit Namen, Trikotnummer, Nationalität, Position, Jahre in Toronto und Schule/Club-Team für die ersten fünf verschiedenen Spieler auf, wenn Sie nach Trikotnummer in steigender Reihenfolge bestellen; fügen Sie einen Status von Active ein, wenn Jahre in Toronto enthält ""angestellt"" und Inaktiv anders, und fügen Sie die Gesamtzahl der Spieler auf der Liste ein.","
SELECT DISTINCT
  `Player`,
  `No.`,
  `Nationality`,
  `Position`,
  `Years in Toronto`,
  `School/Club Team`,
  CASE
    WHEN `Years in Toronto` LIKE '%present%' THEN 'Active'
    ELSE 'Inactive'
  END AS `Status`,
  (SELECT COUNT(*) FROM `table_1_10015132_7`) AS `TotalPlayers`
FROM `table_1_10015132_7`
WHERE 1=1 AND 1=1 OR 1=1
ORDER BY `No.` ASC
LIMIT 5;
","
SELECT DISTINCT
  col0,
  col1,
  col2,
  col3,
  col4,
  col5,
  CASE
    WHEN col4 LIKE '%present%' THEN 'Active'
    ELSE 'Inactive'
  END AS `Status`,
  (SELECT COUNT(*) FROM `table_1_10015132_7`) AS `TotalPlayers`
FROM `table_1_10015132_7`
WHERE 1=1 AND 1=1 OR 1=1
ORDER BY col1 ASC
LIMIT 5;
",table_1_10015132_7
"Bereitstellung eines einzigen konsolidierten Berichts für hohe Dämme (Höhe >= 150 m), der folgende Angaben enthält: (a) die Verteilung pro Kanton und pro Typ mit Zählen, durchschnittlicher Höhe und maximaler Höhe; (b) die fünf ältesten hohen Dämme mit ihrem Namen, Kanton, Baujahr, Höhe und Höhe; und (c) die fünf ältesten Dämme mit ihrem Namen, Kanton, Typ, Höhe, Höhe und Höhe.","
WITH tall AS (
  SELECT `Name` AS Name,
         `Canton` AS Canton,
         `Height (meters)` AS Height,
         `Crest length (meters)` AS Crest,
         `Type` AS Type,
         `Year of construction` AS Year,
         `Name of the Lake` AS Lake
  FROM `table_1_10020178_1`
  WHERE `Height (meters)` >= 150
),
by_block AS (
  SELECT 'BY_CANTON_TYPE' AS `Block`,
         Canton AS `Col1`,
         Type AS `Col2`,
         COUNT(*) AS `Col3`,
         AVG(Height) AS `Col4`,
         MAX(Crest) AS `Col5`,
         NULL AS `Col6`,
         NULL AS `Col7`
  FROM tall
  GROUP BY Canton, Type
  ORDER BY COUNT(*) DESC, AVG(Height) DESC
),
oldest_tall AS (
  SELECT 'OLDEST_TALL' AS `Block`,
         Name AS `Col1`,
         Canton AS `Col2`,
         Year AS `Col3`,
         Height AS `Col4`,
         Crest AS `Col5`,
         NULL AS `Col6`,
         NULL AS `Col7`
  FROM tall
  ORDER BY Year ASC
  LIMIT 5
),
ratio_rank AS (
  SELECT 'HIGHEST_RATIO' AS `Block`,
         Name AS `Col1`,
         Canton AS `Col2`,
         Type AS `Col3`,
         Height AS `Col4`,
         Crest AS `Col5`,
         (Crest * 1.0) / Height AS `Col6`,
         NULL AS `Col7`
  FROM tall
  ORDER BY (Crest * 1.0) / Height DESC
  LIMIT 5
)
SELECT * FROM by_block
UNION ALL
SELECT * FROM oldest_tall
UNION ALL
SELECT * FROM ratio_rank;
","
WITH tall AS (
  SELECT col0 AS Name,
         col1 AS Canton,
         col2 AS Height,
         col3 AS Crest,
         col4 AS Type,
         col5 AS Year,
         col6 AS Lake
  FROM `table_1_10020178_1`
  WHERE col2 >= 150
),
by_block AS (
  SELECT 'BY_CANTON_TYPE' AS `Block`,
         Canton AS `Col1`,
         Type AS `Col2`,
         COUNT(*) AS `Col3`,
         AVG(Height) AS `Col4`,
         MAX(Crest) AS `Col5`,
         NULL AS `Col6`,
         NULL AS `Col7`
  FROM `table_1_10020178_1`
  GROUP BY Canton, Type
  ORDER BY COUNT(*) DESC, AVG(Height) DESC
),
oldest_tall AS (
  SELECT 'OLDEST_TALL' AS `Block`,
         Name AS `Col1`,
         Canton AS `Col2`,
         Year AS `Col3`,
         Height AS `Col4`,
         Crest AS `Col5`,
         NULL AS `Col6`,
         NULL AS `Col7`
  FROM `table_1_10020178_1`
  ORDER BY Year ASC
  LIMIT 5
),
ratio_rank AS (
  SELECT 'HIGHEST_RATIO' AS `Block`,
         Name AS `Col1`,
         Canton AS `Col2`,
         Type AS `Col3`,
         Height AS `Col4`,
         Crest AS `Col5`,
         (Crest * 1.0) / Height AS `Col6`,
         NULL AS `Col7`
  FROM `table_1_10020178_1`
  ORDER BY (Crest * 1.0) / Height DESC
  LIMIT 5
)
SELECT * FROM `table_1_10020178_1`
UNION ALL
SELECT * FROM `table_1_10020178_1`
UNION ALL
SELECT * FROM `table_1_10020178_1`
",table_1_10020178_1
"Aus den Daten der LPGA Tour Karriere Zusammenfassung, zwischen 2007 und 2012, welches Jahr verdiente die meisten Geld, und was sind das Jahr und Gewinne ($) für dieses Jahr?","
SELECT
  `Year`,
  `Earnings ($)`
FROM `table_1_10021158_3`
WHERE `Year` BETWEEN 2007 AND 2012
ORDER BY `Earnings ($)` DESC
LIMIT 1;
","
SELECT
  col0,
  col7
FROM `table_1_10021158_3`
WHERE col0 BETWEEN 2007 AND 2012
ORDER BY col7 DESC
LIMIT 1;
",table_1_10021158_3
"Wenn Sie die Gewinner nach Nationalität gruppieren und nach der Anzahl der Gewinner von höchster bis niedrigster sortieren, welche Nationalität kommt zuerst und wie viele Gewinner hat sie?","
SELECT
  `Nationality`, COUNT(*) AS `Count`
FROM `table_1_1004033_1`
WHERE 1
GROUP BY `Nationality`
ORDER BY `Count` DESC
LIMIT 1;
","
SELECT
  col3, COUNT(*) AS `Count`
FROM `table_1_1004033_1`
WHERE 1
GROUP BY col3
ORDER BY `Count` DESC
LIMIT 1;
",table_1_1004033_1
"Berechnen Sie für jeden Hauptquartier den maximalen Kapitelwert und präsentieren Sie ihn als Hauptquartier und Max-Kapitel; filtern Sie nach Hauptquartier, dessen maximal pro Hauptquartier dem maximalen Kapitelwert entspricht, der in der gesamten Tabelle gefunden wird; ordnen Sie die Ergebnisse nach Hauptquartier.","
SELECT `Headquarters`, MAX(`Chapters`) AS `Max Chapters`
FROM `table_1_10054296_1`
GROUP BY `Headquarters`
HAVING MAX(`Chapters`) = (
  SELECT MAX(`Chapters`)
  FROM `table_1_10054296_1`
)
ORDER BY `Headquarters`;
","
SELECT col1, MAX(col3) AS `Max Chapters`
FROM `table_1_10054296_1`
GROUP BY col1
HAVING MAX(col3) = (
  SELECT MAX(col3)
  FROM `table_1_10054296_1`
)
ORDER BY col1;
",table_1_10054296_1
"Berechnen Sie für jeden Hauptquartier den maximalen Kapitelwert und präsentieren Sie ihn als Hauptquartier und Max-Kapitel; filtern Sie nach Hauptquartier, dessen maximal pro Hauptquartier dem maximalen Kapitelwert entspricht, der in der gesamten Tabelle gefunden wird; ordnen Sie die Ergebnisse nach Hauptquartier.","
SELECT `City_and_State_Hq`, MAX(`Chapters`) AS `Max Chapters`
FROM `table_m_1764456882753_5964c03e_10054296_1`
GROUP BY `City_and_State_Hq`
HAVING MAX(`Chapters`) = (
  SELECT MAX(`Chapters`)
  FROM `table_m_1764456882753_5964c03e_10054296_1`
)
ORDER BY `City_and_State_Hq`;
","
SELECT `City_and_State_Hq`, MAX(`Chapters`) AS `Max Chapters`
FROM `table_m_1764456882753_5964c03e_10054296_1`
GROUP BY `City_and_State_Hq`
HAVING MAX(`Chapters`) = (
  SELECT MAX(`Chapters`)
  FROM `table_m_1764456882753_5964c03e_10054296_1`
)
ORDER BY `City_and_State_Hq`;
",m_1764456882753_5964c03e_10054296-1
