original_text,translation,entities_found,entities,filtered,length_ratio,detected_language,semantic_similarity,back_translation_similarity,combined_similarity,quality_stage,filter_reason
What is the total number of slogans for each state or territory listed in the table?,Tablonda listelenen her eyalet veya bölge için sloganların toplam sayısı nedir?,0,,False,0.9404761904761905,tr,0.9158627390861511,0.980301558971405,0.9545260310173035,semantic_back_pass,
"What are the manufacturers, models, fleet series (quantity), powertrains, and fuel propulsion for each distinct group of these attributes?","Bu özelliklerin her ayrı grubu için üreticiler, modeller, filo seri (koleksiyon), güç trenleri ve yakıt itkisi nelerdir?",0,,False,0.8695652173913043,tr,0.8985859155654907,0.9045619368553162,0.902171528339386,semantic_back_pass,
Which positions have multiple players on the roster and what is the count of players per position?,Hangi pozisyonlarda listede birden fazla oyuncu var ve pozisyon başına oyuncu sayısının sayısı nedir?,0,,False,1.030612244897959,tr,0.9125354290008545,0.9279345870018005,0.9217749238014221,semantic_back_pass,
Could you provide me with the details of players who spent 2005 or 2006 years with the Toronto Raptors?,Toronto Raptors'la 2005 ya da 2006 yıllarını geçiren oyuncuların detaylarını bana verebilir misiniz?,1,Toronto Raptors,False,0.970873786407767,tr,0.961239218711853,0.9636957049369812,0.96271311044693,semantic_back_pass,
What is the breakdown of positions and the count of players associated with each position in the Toronto Raptors roster?,Toronto Raptors'ın takımının pozisyonlarının ve oyuncu sayısının ayrımı nedir?,2,"Toronto, Toronto Raptors",False,0.65,tr,0.9401631355285645,0.8982309699058533,0.9150038361549377,semantic_back_pass,
"For each dam type, what is the average height and the maximum height?",Her bir baraj tipi için ortalama yüksekliği ve maksimum yüksekliği nedir?,0,,False,1.0579710144927537,tr,0.9310824275016785,0.9839696884155273,0.9628147840499878,semantic_back_pass,
"What organizations were founded between 1988 and 2011, including their member name, headquarters location, classification, number of chapters, and year of founding?","1988 ile 2011 yılları arasında hangi teşkilatlar kuruldu? Üye adları, merkez merkezleri, sınıflandırma, bölüm sayısı ve kurulduğu yıl dahil olmak üzere?",0,,False,0.926829268292683,tr,0.9381197690963745,0.9609928727149963,0.9518436312675476,semantic_back_pass,
"What were the average incidences of typhus, typhoid fever, relapsing fever, smallpox, and malaria each year, and what was the total average for each disease across the years?","Tifus, tifoid ateşi, geri dönen ateşi, göbek hastalığı ve malariya olayları her yıl ortalama olarak ne kadar görülüyordu?",0,,False,0.6954022988505747,tr,0.7606936097145081,0.8122507929801941,0.7916279196739197,semantic_back_pass,
"Can you provide the season number, network, start date, end date, TV season rank, and the cumulative number of viewers for each season, sorted by TV season rank in descending order?","Her sezon için sezon numarasını, ağını, başlangıç tarihi, son tarihi, TV sezonları sıralamasını ve toplam izleyicilerin sayısını aşağıdaki sırada TV sezonları sıralamasına göre sıralayabilir misiniz?",0,,False,1.0994475138121547,tr,0.9163100123405457,0.9251602292060852,0.9216201424598693,semantic_back_pass,
"Could you provide the total population, number of Chinese, Filipino, Indian, Japanese, Korean, Vietnamese, and Other Asian residents for each state or territory?","Her eyalet veya bölge için Çinli, Filipinli, Hintli, Japon, Koreli, Vietnamlı ve Diğer Asya sakinlerinin toplam nüfusunu, sayısını belirleyebilir misiniz?",7,"Chinese, Indian, Japanese, Korean, Vietnamese, Asian, Filipino",False,0.9565217391304348,tr,0.919461190700531,0.9094716906547546,0.9134674906730651,semantic_back_pass,
"What is the population density (population per square kilometer) for each regional county municipality in the 2011 census, using the land area given in kilometers squared, and sorted by density in descending order?",2011 nüfus sayımında her bölgesel ilçe belediyesinin nüfus yoğunluğu (sıkılık per kilometre) nedir?,0,,False,0.46261682242990654,tr,0.8656818866729736,0.9248901605606079,0.9012068510055542,semantic_back_pass,
"Which counties have a higher than 50 percent rate of Irish speakers, including their county names, populations, and the percentage of Irish speakers?","Hangi illerde İrlandaca konuşanların oranı yüzde 50'den fazla, ilçe isimleri, nüfusları ve İrlandaca konuşanların oranı dahil olmak üzere?",1,Irish,False,0.9261744966442953,tr,0.9286028146743774,0.9749415516853333,0.9564060568809509,semantic_back_pass,
"Which UN operations had Australian involvement more than once, and what is the total count of times Australian forces were engaged?",Hangi BM operasyonları Avustralya'nın bir kezden fazla katılımını sağladı ve Avustralya güçlerinin toplam katılım sayısı ne kadar?,2,"UN, Australian",False,0.9923664122137404,tr,0.9438115358352661,0.9461486339569092,0.945213794708252,semantic_back_pass,
"Calculate the total score for Northern Ireland, Northern England, Scotland, Southern England, and Wales combined, and find the difference between the sum of Mobile votes and this total.","Kuzey İrlanda, Kuzey İngiltere, İskoçya, Güney İngiltere ve Galler'in toplam puanını hesaplayın ve Mobil oyların toplamı ile bu toplam arasındaki farkı bulun.",6,"Northern Ireland, Northern England, Scotland, Southern England, Wales, Mobile",False,0.8540540540540541,tr,0.8982519507408142,0.9909080266952515,0.9538455963134765,semantic_back_pass,
What is the total number of players for each position listed in the table?,Tablonda listelenen her pozisyon için toplam oyuncu sayısı nedir?,0,,False,0.8783783783783784,tr,0.9481868743896484,0.9986053705215454,0.9784379720687866,semantic_back_pass,
What is the distribution of players across positions in the 1994 NHL Entry Draft?,1994 NHL Entry Draft'ta oyuncuların pozisyonları arasında dağılımı nedir?,2,"Draft, NHL",False,0.9012345679012346,tr,0.9310749173164368,0.9811029434204102,0.9610917329788208,semantic_back_pass,
"What is the count of players per position in the 1994 NHL Entry Draft, sorted in descending order?",1994 NHL Giriş Draft'ında pozisyon başına düşen sıralamalarda oyuncu sayısının sayısı nedir?,1,NHL,False,0.9387755102040817,tr,0.9270280599594116,0.9388313889503479,0.9341100573539733,semantic_back_pass,
"For picks greater than 182, what are the corresponding player names, positions, and nationalities?","182'den büyük oyunculara göre, oyuncuların isimleri, pozisyonları ve milliyetleri ne?",0,,False,0.8673469387755102,tr,0.8850418925285339,0.8663511276245117,0.8738274335861207,semantic_back_pass,
"List the districts and the dates when successors were seated for vacators who left their positions between the dates of death or resignation, and the successors were not listed as Vacant?",Ölüm veya istifa tarihleri arasında görevlerini terk eden boş olanlar için varislerin yer aldığı bölgelerin ve tarihlerin listesi ve varislerin boş olarak listelenmediği tarihler?,0,,False,0.9572192513368984,tr,0.8047474026679993,0.7739055752754211,0.7862423062324524,semantic_back_pass,
"What are the average 1981 Census, 1991 Census, 2001 Census, 2010 Est., and the census increase period for each city?","1981 nüfus sayımı, 1991 nüfus sayımı, 2001 nüfus sayımı, 2010 Est., ve her şehir için nüfus sayımı artış dönemi ortalama nedir?",0,,False,1.0948275862068966,tr,0.8957130908966064,0.8906638026237488,0.8926835179328919,semantic_back_pass,
What is the total number of trains built for each class listed in the table?,Tablonda listelenen her sınıf için yapılmış toplam tren sayısı nedir?,0,,False,0.9078947368421053,tr,0.9378008842468262,0.9441006183624268,0.9415807247161865,semantic_back_pass,
"For each driver's position and series, what is the total points and the highest winnings, sorted by total points and then by largest winnings in descending order?","Her sürücü pozisyonu ve serisi için, toplam puanlar ve en yüksek kazançlar, toplam puanlara ve daha sonra en büyük kazançlara göre aşağıdaki sırada sıralanarak ne kadar?",0,,False,1.0432098765432098,tr,0.8928824067115784,0.8988426923751831,0.8964585781097412,semantic_back_pass,
Which director has directed the most episodes and what is the total count of episodes they directed?,En çok bölüm yöneten yönetmen hangisi ve yönettiği bölümlerin toplam sayısı ne kadar?,0,,False,0.85,tr,0.8547495603561401,0.8785998225212097,0.869059717655182,semantic_back_pass,
"Which films were nominated only once and won an award, including their original titles?",Hangi filmler sadece bir kez aday gösterildi ve orijinal başlıkları dahil olmak üzere bir ödül kazandı?,0,,False,1.1839080459770115,tr,0.9597501754760742,0.9999998807907104,0.983899998664856,semantic_back_pass,
"Could you list the operational periods, primary methods of mass killings, and the total number of estimated deaths for camps that had more than 100,000 estimated deaths?","Toplu öldürülme yöntemlerinin, operasyon dönemlerinin ve toplam ölüme tahmin edilen sayısı 100 binin üzerinde ölüm tahmin edilen kamplarda neler olduğunu listeleyebilir misiniz?",0,,False,1.047337278106509,tr,0.9514003992080688,0.9519602060317993,0.9517362833023071,semantic_back_pass,
Find the round and overall pick number for the quarterback selected in the highest overall position across all rounds.,Tüm turlarda en yüksek genel pozisyonda seçilen quarterback için tur ve genel seçim sayısını bul.,0,,False,0.8220338983050848,tr,0.8324158191680908,0.9636739492416382,0.9111706972122192,semantic_back_pass,
"What positions, colleges, and number of players were chosen between the 200th and 300th overall picks?","200 ve 300'ünci genel seçiler arasında hangi pozisyonlar, kolejler ve oyuncu sayısı seçildi?",1,300th,False,0.9019607843137255,tr,0.8921363949775696,0.8115234971046448,0.8437686562538147,semantic_back_pass,
"List the dates, opponents, and results of the games where the Minnesota Vikings had a record of 6-2 or 7-2, including both the Vikings' score and the opponents' score.","Vikingler'in ve rakiplerin puanı dahil olmak üzere Minnesota Vikingler'in 6-2 veya 7-2 rekoruna sahip olduğu oyunların tarihlerini, rakiplerini ve sonuçlarını listelen.",4,"the Minnesota Vikings, Vikings, Minnesota Vikings, Vikings'",False,1.0059880239520957,tr,0.9562872052192688,0.9927176833152771,0.9781454920768738,semantic_back_pass,
