nl,sql,db_sql,table_id
"Por favor, indique el número de filas cuyas notas son ""No hay consigna en las series actuales"", agrupadas por notas, organizadas por el número resultante en orden descendente, restringidas a cinco resultados.","
SELECT `Notes`, COUNT(*) AS `Count`
FROM `table_1_1000181_1`
WHERE `Notes` = 'No slogan on current series'
GROUP BY `Notes`
ORDER BY `Count` DESC
LIMIT 5;
","SELECT col5, COUNT(*) AS `Count`
FROM `table_1_1000181_1`
WHERE col5 LIKE '%No slogan%'
GROUP BY col5
ORDER BY `Count` DESC
LIMIT 5;",table_1_1000181_1
"A partir de los registros de la flota, enumere cuántas entradas existen por fabricante, pero solo incluya a los fabricantes con más de una entrada, ordene los resultados por el recuento de entradas de la más pequeña a la más grande y devuelva hasta cinco fabricantes.","
SELECT `Manufacturer`, COUNT(*)
FROM `table_1_10007452_3`
WHERE 1=1
GROUP BY `Manufacturer`
HAVING COUNT(*) > 1
ORDER BY 2
LIMIT 5;
","
SELECT col1, COUNT(*)
FROM `table_1_10007452_3`
WHERE 1=1
GROUP BY col1
HAVING COUNT(*) > 1
ORDER BY 2
LIMIT 5;
",table_1_10007452_3
"Por cada nacionalidad representada en la lista de todos los tiempos de los Raptors, ¿cuántos jugadores hay y cuál es el primer año en que un jugador de esa nacionalidad comenzó en Toronto?","
SELECT
  `Nationality` AS `Nation`,
  COUNT(*) AS `Num Players`,
  MIN(CAST(substr(`Years in Toronto`, 1, 4) AS INTEGER)) AS `Earliest Start Year`,
  CASE
    WHEN MIN(CAST(substr(`Years in Toronto`, 1, 4) AS INTEGER)) < 2000 THEN '1990s'
    WHEN MIN(CAST(substr(`Years in Toronto`, 1, 4) AS INTEGER)) < 2010 THEN '2000s'
    ELSE '2010s+'
  END AS `Era`,
  GROUP_CONCAT(DISTINCT `School/Club Team`) AS `Feeding Schools/Clubs`,
  SUM(CASE WHEN `Years in Toronto` LIKE '%,%' THEN 1 ELSE 0 END) AS `MultiStintCount`
FROM `table_1_10015132_1`
GROUP BY `Nationality`
ORDER BY `Era`, `Nation`;
","
SELECT
  col2 AS `Nation`,
  COUNT(*) AS `Num Players`,
  MIN(CAST(substr(col4, 1, 4) AS INTEGER)) AS `Earliest Start Year`,
  CASE
    WHEN MIN(CAST(substr(col4, 1, 4) AS INTEGER)) < 2000 THEN '1990s'
    WHEN MIN(CAST(substr(col4, 1, 4) AS INTEGER)) < 2010 THEN '2000s'
    ELSE '2010s+'
  END AS `Era`,
  GROUP_CONCAT(DISTINCT col5) AS `Feeding Schools/Clubs`,
  SUM(CASE WHEN col4 LIKE '%,%' THEN 1 ELSE 0 END) AS `MultiStintCount`
FROM `table_1_10015132_1`
GROUP BY col2
ORDER BY `Era`, `Nation`;
",table_1_10015132_1
"Enumera cada posición distinta con el número de jugadores en esa posición, mostrando solo las cinco posiciones principales según el recuento.","
SELECT DISTINCT `Position`, COUNT(*) AS `cnt`
FROM `table_1_10015132_21`
WHERE 1=1
GROUP BY `Position`
ORDER BY `cnt` DESC
LIMIT 5;
","
SELECT DISTINCT col3, COUNT(*) AS `cnt`
FROM `table_1_10015132_21`
WHERE 1=1
GROUP BY col3
ORDER BY `cnt` DESC
LIMIT 5;
",table_1_10015132_21
"Enumera cada posición distinta con el número de jugadores en esa posición, mostrando solo las cinco posiciones principales según el recuento.","
SELECT DISTINCT `Role`, COUNT(*) AS `cnt`
FROM `table_m_1764456856057_36b86edc_10015132_21`
WHERE 1=1
GROUP BY `Role`
ORDER BY `cnt` DESC
LIMIT 5;
","
SELECT DISTINCT `Role`, COUNT(*) AS `cnt`
FROM `table_m_1764456856057_36b86edc_10015132_21`
WHERE 1=1
GROUP BY `Role`
ORDER BY `cnt` DESC
LIMIT 5;
",m_1764456856057_36b86edc_10015132-21
"Enumera las entradas de la lista de todos los tiempos de los Raptors, mostrando nombre, número de jersey, nacionalidad, posición, años en Toronto y equipo de la escuela / club, para los primeros cinco jugadores distintos al ordenar por número de jersey en orden ascendente; incluye un estado de activo cuando años en Toronto contiene 'presente' e Inactivo de otra manera, e incluye el número total de jugadores en la lista.","
SELECT DISTINCT
  `Player`,
  `No.`,
  `Nationality`,
  `Position`,
  `Years in Toronto`,
  `School/Club Team`,
  CASE
    WHEN `Years in Toronto` LIKE '%present%' THEN 'Active'
    ELSE 'Inactive'
  END AS `Status`,
  (SELECT COUNT(*) FROM `table_1_10015132_7`) AS `TotalPlayers`
FROM `table_1_10015132_7`
WHERE 1=1 AND 1=1 OR 1=1
ORDER BY `No.` ASC
LIMIT 5;
","
SELECT DISTINCT
  col0,
  col1,
  col2,
  col3,
  col4,
  col5,
  CASE
    WHEN col4 LIKE '%present%' THEN 'Active'
    ELSE 'Inactive'
  END AS `Status`,
  (SELECT COUNT(*) FROM `table_1_10015132_7`) AS `TotalPlayers`
FROM `table_1_10015132_7`
WHERE 1=1 AND 1=1 OR 1=1
ORDER BY col1 ASC
LIMIT 5;
",table_1_10015132_7
"Proporcionar un informe consolidado único para las represas altas (Alteza >= 150 m) que incluya: (a) la distribución por cantón y por tipo con recuentos, altura promedio y longitud máxima de la cresta; (b) las cinco represas altas más antiguas con su nombre, Cantón, año de construcción, altura y longitud de la cresta; y (c) las cinco represas más altas con su nombre, Cantón, tipo, altura, longitud de la cresta y relación.","
WITH tall AS (
  SELECT `Name` AS Name,
         `Canton` AS Canton,
         `Height (meters)` AS Height,
         `Crest length (meters)` AS Crest,
         `Type` AS Type,
         `Year of construction` AS Year,
         `Name of the Lake` AS Lake
  FROM `table_1_10020178_1`
  WHERE `Height (meters)` >= 150
),
by_block AS (
  SELECT 'BY_CANTON_TYPE' AS `Block`,
         Canton AS `Col1`,
         Type AS `Col2`,
         COUNT(*) AS `Col3`,
         AVG(Height) AS `Col4`,
         MAX(Crest) AS `Col5`,
         NULL AS `Col6`,
         NULL AS `Col7`
  FROM tall
  GROUP BY Canton, Type
  ORDER BY COUNT(*) DESC, AVG(Height) DESC
),
oldest_tall AS (
  SELECT 'OLDEST_TALL' AS `Block`,
         Name AS `Col1`,
         Canton AS `Col2`,
         Year AS `Col3`,
         Height AS `Col4`,
         Crest AS `Col5`,
         NULL AS `Col6`,
         NULL AS `Col7`
  FROM tall
  ORDER BY Year ASC
  LIMIT 5
),
ratio_rank AS (
  SELECT 'HIGHEST_RATIO' AS `Block`,
         Name AS `Col1`,
         Canton AS `Col2`,
         Type AS `Col3`,
         Height AS `Col4`,
         Crest AS `Col5`,
         (Crest * 1.0) / Height AS `Col6`,
         NULL AS `Col7`
  FROM tall
  ORDER BY (Crest * 1.0) / Height DESC
  LIMIT 5
)
SELECT * FROM by_block
UNION ALL
SELECT * FROM oldest_tall
UNION ALL
SELECT * FROM ratio_rank;
","
WITH tall AS (
  SELECT col0 AS Name,
         col1 AS Canton,
         col2 AS Height,
         col3 AS Crest,
         col4 AS Type,
         col5 AS Year,
         col6 AS Lake
  FROM `table_1_10020178_1`
  WHERE col2 >= 150
),
by_block AS (
  SELECT 'BY_CANTON_TYPE' AS `Block`,
         Canton AS `Col1`,
         Type AS `Col2`,
         COUNT(*) AS `Col3`,
         AVG(Height) AS `Col4`,
         MAX(Crest) AS `Col5`,
         NULL AS `Col6`,
         NULL AS `Col7`
  FROM `table_1_10020178_1`
  GROUP BY Canton, Type
  ORDER BY COUNT(*) DESC, AVG(Height) DESC
),
oldest_tall AS (
  SELECT 'OLDEST_TALL' AS `Block`,
         Name AS `Col1`,
         Canton AS `Col2`,
         Year AS `Col3`,
         Height AS `Col4`,
         Crest AS `Col5`,
         NULL AS `Col6`,
         NULL AS `Col7`
  FROM `table_1_10020178_1`
  ORDER BY Year ASC
  LIMIT 5
),
ratio_rank AS (
  SELECT 'HIGHEST_RATIO' AS `Block`,
         Name AS `Col1`,
         Canton AS `Col2`,
         Type AS `Col3`,
         Height AS `Col4`,
         Crest AS `Col5`,
         (Crest * 1.0) / Height AS `Col6`,
         NULL AS `Col7`
  FROM `table_1_10020178_1`
  ORDER BY (Crest * 1.0) / Height DESC
  LIMIT 5
)
SELECT * FROM `table_1_10020178_1`
UNION ALL
SELECT * FROM `table_1_10020178_1`
UNION ALL
SELECT * FROM `table_1_10020178_1`
",table_1_10020178_1
"De los datos de resumen de carrera del LPGA Tour, entre 2007 y 2012, ¿qué año ganó más dinero, y cuáles son el Año y ganancias ($) para ese año?","
SELECT
  `Year`,
  `Earnings ($)`
FROM `table_1_10021158_3`
WHERE `Year` BETWEEN 2007 AND 2012
ORDER BY `Earnings ($)` DESC
LIMIT 1;
","
SELECT
  col0,
  col7
FROM `table_1_10021158_3`
WHERE col0 BETWEEN 2007 AND 2012
ORDER BY col7 DESC
LIMIT 1;
",table_1_10021158_3
"Si se agrupan los ganadores por nacionalidad y se clasifican por el número de ganadores desde el más alto hasta el más bajo, ¿qué nacionalidad viene primero y cuántos ganadores tiene?","
SELECT
  `Nationality`, COUNT(*) AS `Count`
FROM `table_1_1004033_1`
WHERE 1
GROUP BY `Nationality`
ORDER BY `Count` DESC
LIMIT 1;
","
SELECT
  col3, COUNT(*) AS `Count`
FROM `table_1_1004033_1`
WHERE 1
GROUP BY col3
ORDER BY `Count` DESC
LIMIT 1;
",table_1_1004033_1
"Calcule, para cada Sede central, el valor máximo de los Capítulos y presentelo como Sede central y Max Capítulos; filtre a Sede central cuyo máximo máximo central por Sede es igual al valor máximo de los Capítulos que se encuentran en toda la tabla; ordene los resultados por Sede central.","
SELECT `Headquarters`, MAX(`Chapters`) AS `Max Chapters`
FROM `table_1_10054296_1`
GROUP BY `Headquarters`
HAVING MAX(`Chapters`) = (
  SELECT MAX(`Chapters`)
  FROM `table_1_10054296_1`
)
ORDER BY `Headquarters`;
","
SELECT col1, MAX(col3) AS `Max Chapters`
FROM `table_1_10054296_1`
GROUP BY col1
HAVING MAX(col3) = (
  SELECT MAX(col3)
  FROM `table_1_10054296_1`
)
ORDER BY col1;
",table_1_10054296_1
