index,original_text,translation,has_translation,original_length,translation_length,length_ratio,original_word_count,translation_word_count,word_count_ratio,original_char_count,translation_char_count,char_count_ratio,original_sentence_count,translation_sentence_count,fuzzy_similarity,detected_language
0,What is the total number of slogans for each state or territory listed in the table?,Tablonda listelenen her eyalet veya bölge için sloganların toplam sayısı nedir?,True,84,79,0.9404761904761905,16.0,11.0,0.6875,84.0,79.0,0.9404761904761905,1.0,1.0,0.29,tr
1,"What are the manufacturers, models, fleet series (quantity), powertrains, and fuel propulsion for each distinct group of these attributes?","Bu özelliklerin her ayrı grubu için üreticiler, modeller, filo seri (koleksiyon), güç trenleri ve yakıt itkisi nelerdir?",True,138,120,0.8695652173913043,19.0,17.0,0.8947368421052632,138.0,120.0,0.8695652173913043,1.0,1.0,0.3,tr
2,Which positions have multiple players on the roster and what is the count of players per position?,Hangi pozisyonlarda listede birden fazla oyuncu var ve pozisyon başına oyuncu sayısının sayısı nedir?,True,98,101,1.030612244897959,17.0,14.0,0.8235294117647058,98.0,101.0,1.030612244897959,1.0,1.0,0.29,tr
3,Could you provide me with the details of players who spent 2005 or 2006 years with the Toronto Raptors?,Toronto Raptors'la 2005 ya da 2006 yıllarını geçiren oyuncuların detaylarını bana verebilir misiniz?,True,103,100,0.970873786407767,19.0,13.0,0.6842105263157895,103.0,100.0,0.970873786407767,1.0,1.0,0.28,tr
4,What is the breakdown of positions and the count of players associated with each position in the Toronto Raptors roster?,Toronto Raptors'ın takımının pozisyonlarının ve oyuncu sayısının ayrımı nedir?,True,120,78,0.65,20.0,9.0,0.45,120.0,78.0,0.65,1.0,1.0,0.4,tr
5,"For each dam type, what is the average height and the maximum height?",Her bir baraj tipi için ortalama yüksekliği ve maksimum yüksekliği nedir?,True,69,73,1.0579710144927537,13.0,11.0,0.8461538461538461,69.0,73.0,1.0579710144927537,1.0,1.0,0.37,tr
6,"What organizations were founded between 1988 and 2011, including their member name, headquarters location, classification, number of chapters, and year of founding?","1988 ile 2011 yılları arasında hangi teşkilatlar kuruldu? Üye adları, merkez merkezleri, sınıflandırma, bölüm sayısı ve kurulduğu yıl dahil olmak üzere?",True,164,152,0.926829268292683,22.0,21.0,0.9545454545454546,164.0,152.0,0.926829268292683,1.0,2.0,0.15,tr
7,"What were the average incidences of typhus, typhoid fever, relapsing fever, smallpox, and malaria each year, and what was the total average for each disease across the years?","Tifus, tifoid ateşi, geri dönen ateşi, göbek hastalığı ve malariya olayları her yıl ortalama olarak ne kadar görülüyordu?",True,174,121,0.6954022988505747,28.0,18.0,0.6428571428571429,174.0,121.0,0.6954022988505747,1.0,1.0,0.4,tr
8,"Can you provide the season number, network, start date, end date, TV season rank, and the cumulative number of viewers for each season, sorted by TV season rank in descending order?","Her sezon için sezon numarasını, ağını, başlangıç tarihi, son tarihi, TV sezonları sıralamasını ve toplam izleyicilerin sayısını aşağıdaki sırada TV sezonları sıralamasına göre sıralayabilir misiniz?",True,181,199,1.0994475138121547,31.0,25.0,0.8064516129032258,181.0,199.0,1.0994475138121547,1.0,1.0,0.35,tr
9,"Could you provide the total population, number of Chinese, Filipino, Indian, Japanese, Korean, Vietnamese, and Other Asian residents for each state or territory?","Her eyalet veya bölge için Çinli, Filipinli, Hintli, Japon, Koreli, Vietnamlı ve Diğer Asya sakinlerinin toplam nüfusunu, sayısını belirleyebilir misiniz?",True,161,154,0.9565217391304348,23.0,20.0,0.8695652173913043,161.0,154.0,0.9565217391304348,1.0,1.0,0.43,tr
10,"What is the population density (population per square kilometer) for each regional county municipality in the 2011 census, using the land area given in kilometers squared, and sorted by density in descending order?",2011 nüfus sayımında her bölgesel ilçe belediyesinin nüfus yoğunluğu (sıkılık per kilometre) nedir?,True,214,99,0.46261682242990654,33.0,13.0,0.3939393939393939,214.0,99.0,0.46261682242990654,1.0,1.0,0.29,tr
11,"Which counties have a higher than 50 percent rate of Irish speakers, including their county names, populations, and the percentage of Irish speakers?","Hangi illerde İrlandaca konuşanların oranı yüzde 50'den fazla, ilçe isimleri, nüfusları ve İrlandaca konuşanların oranı dahil olmak üzere?",True,149,138,0.9261744966442953,23.0,18.0,0.782608695652174,149.0,138.0,0.9261744966442953,1.0,1.0,0.18,tr
12,"Which UN operations had Australian involvement more than once, and what is the total count of times Australian forces were engaged?",Hangi BM operasyonları Avustralya'nın bir kezden fazla katılımını sağladı ve Avustralya güçlerinin toplam katılım sayısı ne kadar?,True,131,130,0.9923664122137404,21.0,17.0,0.8095238095238095,131.0,130.0,0.9923664122137404,1.0,1.0,0.41,tr
13,"Calculate the total score for Northern Ireland, Northern England, Scotland, Southern England, and Wales combined, and find the difference between the sum of Mobile votes and this total.","Kuzey İrlanda, Kuzey İngiltere, İskoçya, Güney İngiltere ve Galler'in toplam puanını hesaplayın ve Mobil oyların toplamı ile bu toplam arasındaki farkı bulun.",True,185,158,0.8540540540540541,28.0,22.0,0.7857142857142857,185.0,158.0,0.8540540540540541,1.0,3.0,0.32,tr
14,What is the total number of players for each position listed in the table?,Tablonda listelenen her pozisyon için toplam oyuncu sayısı nedir?,True,74,65,0.8783783783783784,14.0,9.0,0.6428571428571429,74.0,65.0,0.8783783783783784,1.0,1.0,0.35,tr
15,What is the distribution of players across positions in the 1994 NHL Entry Draft?,1994 NHL Entry Draft'ta oyuncuların pozisyonları arasında dağılımı nedir?,True,81,73,0.9012345679012346,14.0,9.0,0.6428571428571429,81.0,73.0,0.9012345679012346,1.0,1.0,0.45,tr
16,"What is the count of players per position in the 1994 NHL Entry Draft, sorted in descending order?",1994 NHL Giriş Draft'ında pozisyon başına düşen sıralamalarda oyuncu sayısının sayısı nedir?,True,98,92,0.9387755102040817,18.0,12.0,0.6666666666666666,98.0,92.0,0.9387755102040817,1.0,1.0,0.35,tr
17,"For picks greater than 182, what are the corresponding player names, positions, and nationalities?","182'den büyük oyunculara göre, oyuncuların isimleri, pozisyonları ve milliyetleri ne?",True,98,85,0.8673469387755102,14.0,10.0,0.7142857142857143,98.0,85.0,0.8673469387755102,1.0,1.0,0.32,tr
18,"List the districts and the dates when successors were seated for vacators who left their positions between the dates of death or resignation, and the successors were not listed as Vacant?",Ölüm veya istifa tarihleri arasında görevlerini terk eden boş olanlar için varislerin yer aldığı bölgelerin ve tarihlerin listesi ve varislerin boş olarak listelenmediği tarihler?,True,187,179,0.9572192513368984,31.0,24.0,0.7741935483870968,187.0,179.0,0.9572192513368984,1.0,2.0,0.28,tr
19,"What are the average 1981 Census, 1991 Census, 2001 Census, 2010 Est., and the census increase period for each city?","1981 nüfus sayımı, 1991 nüfus sayımı, 2001 nüfus sayımı, 2010 Est., ve her şehir için nüfus sayımı artış dönemi ortalama nedir?",True,116,127,1.0948275862068966,20.0,21.0,1.05,116.0,127.0,1.0948275862068966,1.0,1.0,0.47,tr
