original_text,rejected_translation,entities_found,entities,filter_reason,quality_stage,length_ratio,detected_language,semantic_similarity,back_translation_similarity,combined_similarity,back_translation_text,original_length,translation_length
What are the species of iris and their average petal length along with how much each species' average petal length differs from the overall average petal length?,"Какие виды Ирис и их средняя длина лепестков, а также в каком размере средняя длина лепестков каждого вида отличается от общей средней длины лепестков?",1,iris,semantic_back_review,semantic_back_review,0.937888198757764,ru,0.6520249247550964,0.7274794578552246,0.6972976446151733,"What are the species of Iris and their average leaf length, and how does the average leaf length of each species differ from the average leaf length?",161,151
Which dates had more than one non-championship race recorded in the table?,"Какие даты имели более одной неборьбы, зафиксированной в таблице?",0,,semantic_back_review,semantic_back_review,0.8783783783783784,ru,0.5804505944252014,0.7984190583229065,0.7112316727638244,What dates have more than one match recorded in the table?,74,65
Which themes were released more than once by Canada Post in 2007?,Какие темы были опубликованы более одного раза в 2007 году?,1,Canada Post,semantic_back_review,semantic_back_review,0.9076923076923077,ru,0.7446166276931763,0.6617466807365417,0.6948946595191956,What topics were published more than once in 2007?,65,59
"For each model, how many have a flat top rear sight, and how many have a case deflector? What is the average barrel length in inches?","Каждый из них имеет плоский верхний задний вид, а у кого - дефлектор?",0,,semantic_back_fail,semantic_back_fail,0.518796992481203,ru,0.5972302556037903,0.5965360999107361,0.5968137621879578,"Each of them has a flat top back, and who has a deflector?",133,69
Determine the average wickets and average runs per wicket for each player's best bowling performance.,Определите средние вены и средние убытки на вены для лучших показателей боулинга каждого игрока.,0,,semantic_back_review,semantic_back_review,0.9504950495049505,ru,0.669402003288269,0.6611449718475342,0.6644477844238281,Find the average veins and the average loss veins for each player's best bowling figures.,101,96
What district and incumbent are listed for each row in the table?,Какой район и местоположение перечислены в таблице для каждого ряда?,0,,semantic_back_review,semantic_back_review,1.0461538461538462,ru,0.7104032635688782,0.6980941891670227,0.7030178189277649,What area and location are listed in the table for each row?,65,68
"Which districts had incumbents who were re-elected? List the district number, incumbent name, party, year first elected, and mention if there were any candidates who lost the renomination.","В списке указано номер округа, имя действующего лица, партия, год первого избрания и указано, были ли кандидаты, проигравшие переизбрание.",0,,semantic_back_review,semantic_back_review,0.7340425531914894,ru,0.6768628358840942,0.6188196539878845,0.6420369267463684,"The list shows the county number, the name of the person in office, the party, the year of the first election and whether there were any candidates who lost the re-election.",188,138
In which years did Pierre Tchernia serve as the Grand Final Television Commentator?,В каких годах Черния Пьер служил телекомментатором Гранд-Финала?,2,"Pierre Tchernia, the Grand Final Television Commentator",semantic_back_review,semantic_back_review,0.7710843373493976,ru,0.6602472066879272,0.7505083680152893,0.7144039034843445,In what years did Blackie Pierre serve as a television commentator for the Grand Final?,83,64
"For each tournament, determine how many more times Olimpia won than Cerro and find the largest goal difference between their scores.","Для каждого турнира определите, сколько раз больше Олимпиа выигрывает, чем Черро, и найдите наибольшую разницу в результатах.",2,"Olimpia, Cerro",semantic_back_review,semantic_back_review,0.946969696969697,ru,0.7417356371879578,0.6550503373146057,0.6897244572639465,"For each tournament, determine how many times more the Olympics win than Cherro, and find the biggest difference in results.",132,125
Determine the airport with the highest total passengers and compute the average percentage change in passenger traffic from 2007/2008 for that airport.,"В соответствии с пунктом 1 настоящей статьи, в соответствии с пунктом 1 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в случае, если это решение не соответствует требованиям, указанным в пункте 2 настоящей статьи, то это может быть принято в качестве основной причины для того, чтобы не допустить, чтобы в случае необходимости, в случае необходимости, было принято решение о предоставлении дополнительных услуг.",0,,heuristic_filter_fail,heuristic_filter_fail,,,,,,,151,473
"Which airports have the highest passenger volume in 2007, including their airport ranks, airport names, maximum number of passengers, average percentage change from 2006/2007, total international passengers, total domestic passengers, total transit passengers, total aircraft movements, and total freight?","В соответствии с пунктом 1 настоящей статьи, в соответствии с пунктом 1 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей статьи, в соответствии с пунктом 2 настоящей",0,,semantic_back_fail,semantic_back_fail,2.921311475409836,ru,0.014641583897173405,0.0,0.005856633558869362,"In accordance with paragraph 1 of this article, in accordance with paragraph 1 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article, in accordance with paragraph 2 of this article,",305,891
