nl,sql,db_sql,db_result,table_id,schema_change_type
MLS रूकी ऑफ द ईयर पुरस्कार विजेताओं ने किन-किन विभिन्न कॉलेजों में पढ़ाई की है?,"
SELECT DISTINCT `College`
FROM `table_1_1004033_1`;
","
SELECT DISTINCT col7
FROM `table_1_1004033_1`;
","[('florida international',), ('unlv',), ('virginia',), ('duke',), ('ucla',), ('concordia college',), ('connecticut',), ('furman',), ('wake forest',), ('maryland',), ('cal state northridge',), ('none',), ('james madison',)]",table_1_1004033_1,
MLS रूकी ऑफ द ईयर पुरस्कार विजेताओं ने किन-किन विभिन्न कॉलेजों में पढ़ाई की है?,"
SELECT DISTINCT `College`
FROM `table_m_1765006502800_8307be4b_1004033_1`;
","
SELECT DISTINCT col5
FROM `table_m_1765006502800_8307be4b_1004033_1`;
","[('Florida International',), ('UNLV',), ('Virginia',), ('Duke',), ('UCLA',), ('Concordia College',), ('Connecticut',), ('Furman',), ('Wake Forest',), ('Maryland',), ('Cal State Northridge',), ('none',), ('James Madison',)]",m_1765006502800_8307be4b_1004033-1,
"किसी विश्वविद्यालय में स्थापित संगठनों में से, किस मुख्यालय शहर में अध्यायों (chapters) की कुल संख्या सबसे अधिक है?","
SELECT `Headquarters`, SUM(`Chapters`) AS `TotalChapters` FROM `table_1_10054296_1` WHERE `Founded` LIKE `'%University'` GROUP BY `Headquarters` ORDER BY `TotalChapters` DESC LIMIT 1;
","
SELECT col1, SUM(col3) AS `TotalChapters` FROM `table_1_10054296_1` WHERE col4 LIKE '%University' GROUP BY col1 ORDER BY `TotalChapters` DESC LIMIT 1;
","[('baltimore, maryland', 26.0)]",table_1_10054296_1,
"किसी विश्वविद्यालय में स्थापित संगठनों में से, किस मुख्यालय शहर में अध्यायों (chapters) की कुल संख्या सबसे अधिक है?","SELECT `Headquarters`, SUM(`Chapters`) AS `TotalChapters`
FROM `table_m_1765006517933_2425fb80_10054296_1`
WHERE `Founded_Institution` LIKE '%University'
GROUP BY `Headquarters`
ORDER BY `TotalChapters` DESC
LIMIT 1;","SELECT col1, SUM(col3) AS `TotalChapters`
FROM `table_m_1765006517933_2425fb80_10054296_1`
WHERE col6 LIKE '%University'
GROUP BY col1
ORDER BY `TotalChapters` DESC
LIMIT 1;","[('Baltimore, Maryland', 26.0)]",m_1765006517933_2425fb80_10054296-1,
"मैं हमारे छोटे गेलटैक्ट (Gaeltacht) क्षेत्रों में भाषा की मुख्य जीवंतता का आकलन कर रहा हूँ। प्रत्येक काउंटी के लिए, क्या आप 400 से कम निवासियों वाले सभी समुदायों के डेटा को एकत्र कर सकते हैं और उनके औसत वक्ता प्रतिशत की गणना कर सकते हैं? मुझे उन काउंटियों की एक रैंक की गई सूची दें जो 50% की सीमा से ऊपर आती हैं, साथ ही यह भी बताएँ कि उनमें से प्रत्येक में ऐसे कितने सूक्ष्म-समुदाय हैं।","
SELECT `County`, COUNT(*) AS `Number of Communities`, AVG(CAST(REPLACE(`Irish speakers`, '%', '') AS REAL)) AS `Average Speaker Percentage` FROM `table_1_101196_1` WHERE `Population` < 400 GROUP BY `County` HAVING `Average Speaker Percentage` > 50 ORDER BY `Average Speaker Percentage` DESC;
","
SELECT col0, COUNT(*) AS `Number of Communities`, AVG(CAST(REPLACE(col4, '%', '') AS REAL)) AS `Average Speaker Percentage` FROM `table_1_101196_1` WHERE col3 < 400 GROUP BY col0 HAVING `Average Speaker Percentage` > 50 ORDER BY `Average Speaker Percentage` DESC;
","[('county galway', 3, 75.66666666666667), ('county donegal', 4, 54.25), ('county mayo', 2, 54.0), ('county kerry', 6, 53.333333333333336)]",table_1_101196_1,
"मैं हमारे छोटे गेलटैक्ट (Gaeltacht) क्षेत्रों में भाषा की मुख्य जीवंतता का आकलन कर रहा हूँ। प्रत्येक काउंटी के लिए, क्या आप 400 से कम निवासियों वाले सभी समुदायों के डेटा को एकत्र कर सकते हैं और उनके औसत वक्ता प्रतिशत की गणना कर सकते हैं? मुझे उन काउंटियों की एक रैंक की गई सूची दें जो 50% की सीमा से ऊपर आती हैं, साथ ही यह भी बताएँ कि उनमें से प्रत्येक में ऐसे कितने सूक्ष्म-समुदाय हैं।","
SELECT `county`, COUNT(*) AS `Number of Communities`, AVG(CAST(REPLACE(`Irish speakers`, '%', '') AS REAL)) AS `Average Speaker Percentage` FROM `table_m_1765006544804_948715e0_101196_1` WHERE `Population` < 400 GROUP BY `county` HAVING `Average Speaker Percentage` > 50 ORDER BY `Average Speaker Percentage` DESC;
","
SELECT col0, COUNT(*) AS `Number of Communities`, AVG(CAST(REPLACE(col4, '%', '') AS REAL)) AS `Average Speaker Percentage` FROM `table_m_1765006544804_948715e0_101196_1` WHERE col3 < 400 GROUP BY col0 HAVING `Average Speaker Percentage` > 50 ORDER BY `Average Speaker Percentage` DESC;
","[('County Galway', 3, 75.66666666666667), ('County Donegal', 4, 54.25), ('County Mayo', 2, 54.0), ('County Kerry', 6, 53.333333333333336)]",m_1765006544804_948715e0_101196-1,
"रूपात्मक भिन्नता के मेरे विश्लेषण के लिए, मुझे दिखाएँ कि कलौ कवाउ या, कवलगौ या, और अन्य संबंधित बोलियों में संप्रदान (Dative) और अपादान (Ablative) प्रत्यय कैसे दर्शाए जाते हैं।","
SELECT ``, `Kalau Kawau Ya`, `Kawalgau Ya`, `Kalaw Lagaw Ya`, `Kulkalgau Ya`, `Kauraraigau Ya (Kowrareg)` FROM `table_1_1015914_15` WHERE `` IN (`Dative`, `Ablative`);
","
SELECT col0, col1, col2, col3, col4, col5 FROM `table_1_1015914_15` WHERE col0 LIKE 'Dative' OR col0 LIKE 'Ablative';
","[('dative', '-pa', '-pa (-ka)', '-ka (-pa)', '-ka (-pa)', '-pa[rri] (-ka)'), ('ablative', '-ngu(z), -z(i)', '-ngu, -z(i)', '-ngu, -zi', '-ngu, -z(i)', '-nguzi, -zi')]",table_1_1015914_15,
"रूपात्मक भिन्नता के मेरे विश्लेषण के लिए, मुझे दिखाएँ कि कलौ कवाउ या, कवलगौ या, और अन्य संबंधित बोलियों में संप्रदान (Dative) और अपादान (Ablative) प्रत्यय कैसे दर्शाए जाते हैं।","SELECT ``, `Kalau Kawau Ya`, `Kawalgau Ya`, `Kalaw Lagaw Ya`, `Kulkalgau Ya`, `Kauraraigau_Ya`
FROM `table_m_1765006588322_2ebc761a_1015914_15`
WHERE `` IN ('Dative', 'Ablative')
  AND `dialect` = 'Kowrareg';","SELECT col0, col1, col2, col3, col4, col5
FROM `table_m_1765006588322_2ebc761a_1015914_15`
WHERE col0 IN ('Dative', 'Ablative')
  AND col6 = 'Kowrareg';","[('Dative', '-pa', '-pa (-ka)', '-ka (-pa)', '-ka (-pa)', 'ngi'), ('Ablative', '-ngu(z), -z(i)', '-ngu, -z(i)', '-ngu, -zi', '-ngu, -z(i)', 'ngi')]",m_1765006588322_2ebc761a_1015914-15,
"मुझे संप्रदान (dative) और अपादान (ablative) कारकों के लिए 'हम दोनों' और 'तुम और मैं' के लिए व्याकरणिक कारक और संबंधित रूप दिखाएँ, और परिणामों को 'हम दोनों' वाले रूप के आधार पर उल्टे वर्णानुक्रम में व्यवस्थित करें।","
SELECT `Case/Suffix` AS `Grammatical_Case`, `we two`, `you and I` FROM `table_1_1015914_24` WHERE `Case/Suffix` IN (`dat.`, `abl.`) ORDER BY `we two` DESC;
","
SELECT col0 AS `Grammatical_Case`, col1, col2 FROM `table_1_1015914_24` WHERE col0 IN ('dat.', 'abl.') ORDER BY col1 DESC;
","[('dat.', 'ngalbelpa', 'ngœbalpa'), ('abl.', 'ngalbelngu', 'ngœbalngu')]",table_1_1015914_24,
"IROC XX सीज़न में विभिन्न विधाओं के प्रदर्शन का मूल्यांकन करने के लिए, क्या आप एक सारांश तालिका बना सकते हैं? मैं प्रत्येक श्रृंखला को उसके ड्राइवरों द्वारा अर्जित कुल पुरस्कार राशि के अनुसार रैंक किया हुआ देखना चाहूँगा, और कृपया प्रत्येक के लिए ड्राइवर संख्या और औसत अंक शामिल करें।","
SELECT `Series`, COUNT(`Driver`) AS `NumberOfDrivers`, AVG(`Points`) AS `AveragePoints`, SUM(CAST(REPLACE(REPLACE(`Winnings`, '$', ''), ',', '') AS REAL)) AS `TotalWinnings` FROM `table_1_10160447_1` GROUP BY `Series` ORDER BY `TotalWinnings` DESC;
","
SELECT col4, COUNT(col1) AS `NumberOfDrivers`, AVG(col2) AS `AveragePoints`, SUM(CAST(REPLACE(REPLACE(col3, '$', ''), ',', '') AS REAL)) AS `TotalWinnings` FROM `table_1_10160447_1` GROUP BY col4 ORDER BY `TotalWinnings` DESC;
","[('nascar winston cup', 6, 40.666666666666664, 435000.0), ('indy car', 3, 47.333333333333336, 185000.0), ('nascar busch series', 1, 50.0, 60000.0), ('scca trans-am series', 1, 36.0, 40000.0)]",table_1_10160447_1,
