nl,sql,predicted_ambiguity
"
    How many vehicles are there for each manufacturer?
    ","SELECT `Manufacturer`, COUNT(`Fleet Series (Quantity)`) AS Quantity
    FROM table_1_10007452_3
    GROUP BY `Manufacturer`
    ORDER BY Quantity DESC;",0.0023364759981632233
"
    What is the position with the highest number of players in the given range of jersey numbers?
    ","SELECT T1.`Position`, COUNT(*) AS `Player Count`
    FROM (
        SELECT `Position` FROM `table_1_10015132_14` WHERE `No.` BETWEEN 6 AND 34
    ) AS T1 JOIN `table_1_10015132_14` AS T2 ON T1.`Position` = T2.`Position`
    GROUP BY T1.`Position`
    ORDER BY `Player Count` DESC
    LIMIT 1;",0.13177630305290222
"
    What is the most common position among players listed in the table, and how many players hold that position?
    ","SELECT `Position`, COUNT(*) AS PlayerCount
    FROM `table_1_10015132_3`
    GROUP BY `Position`
    ORDER BY PlayerCount DESC
    LIMIT 1;",0.0019189976155757904
"
    How many players hold each unique position listed in the roster?
    ","SELECT `Position`, COUNT(*) AS `Player Count`
    FROM `table_1_10015132_7`
    GROUP BY `Position`
    HAVING COUNT(*) > 1
    ORDER BY `Player Count` DESC;",0.0035505183041095734
"
    What is the average height and count of dams for each type, sorted by average height in descending order?
    ","SELECT `Type`, AVG(`Height (meters)`), COUNT(*)
    FROM `table_1_10020178_1`
    GROUP BY `Type`
    ORDER BY AVG(`Height (meters)`) DESC;",0.00039106234908103943
"
In which years did Meaghan Francella play more than 20 tournaments, how many times did she win in those years, and what was her average scoring average during those years?
","SELECT `Year`, 
       SUM(CASE WHEN `Tournaments played` > 20 THEN 1 ELSE 0 END) AS `Number of Years Played More Than 20 Tournaments`,
       SUM(CASE WHEN `Wins` > 0 THEN 1 ELSE 0 END) AS `Number of Years With Wins`,
       AVG(`Scoring average`) AS `Average Scoring Average`
FROM `table_1_10021158_3`
GROUP BY `Year`
ORDER BY `Year`;",0.6114025712013245
"
     Which positions did the players who were drafted first in the top three seasons win?
     ","SELECT `Season`, `Position`, `Team`, `Nationality`, `College` 
     FROM table_1_1004033_1 
     WHERE `Season` IN (
         SELECT DISTINCT `Season` 
         FROM table_1_1004033_1 
         ORDER BY `Draft Pick #` DESC 
         LIMIT 3
     );",0.723109245300293
"
What were the years when the number of members founded was between 1988 and 2011?
","SELECT `Founded`, COUNT(`Member`) AS `Count_of_Members`
FROM `table_1_10054296_1`
WHERE `Founded` BETWEEN '1988' AND '2011'
GROUP BY `Founded`
ORDER BY `Founded`;",0.07688145339488983
" For each year, provide the average typhus incidence, the maximum typhoid fever incidence, the minimum relapsing fever incidence, the total smallpox cases, and the malaria data","SELECT 
        `Year`, 
        AVG(`Typhus`) AS `Average Typhus Incidence`, 
        MAX(`Typhoid fever`) AS `Highest Typhoid Fever Incidence`, 
        MIN(`Relapsing fever`) AS `Lowest Relapsing Fever Incidence`, 
        SUM(`Smallpox`) AS `Total Smallpox Cases`, 
        `Malaria`
    FROM 
        `table_1_1007688_1`
    GROUP BY 
        `Year`
    ORDER BY 
        `Year`;",3.668280839920044
"```What is the average number of viewers for each TV season?```
```What is the average number of viewers for each TV season?```","SELECT `TV season`, COUNT(`Viewers (in millions)`), AVG(`Viewers (in millions)`) 
    FROM table_1_1009087_1 
    GROUP BY `TV season` 
    ORDER BY `TV season`;",0.3087584376335144
"
    What is the remaining Asian American population for each state after subtracting the populations of Chinese, Filipino, Indian, Japanese, Korean, Vietnamese, and Other Asian?
    ","SELECT `State/Territory`, 
           SUM(`Asian American Population (2010 Census)` - `Chinese` - `Filipino` - `Indian` - `Japanese` - `Korean` - `Vietnamese` - `Other Asian`) AS Remaining_Asian_Population
    FROM table_1_10118412_6
    GROUP BY `State/Territory`
    ORDER BY Remaining_Asian_Population DESC;",0.11201480031013489
" What is the Regional County Municipality, population, land area, and density for the lowest density region?","SELECT `Regional County Municipality (RCM)`, `Population Canada 2011 Census`, `Land Area`, `Density (pop. per km2)`
    FROM table_1_1011906_1
    WHERE `Density (pop. per km2)` IN (
        SELECT `Density (pop. per km2)`
        FROM table_1_1011906_1
        ORDER BY `Density (pop. per km2)` DESC
        LIMIT 1
    );",3.3897957801818848
"
What counties have more than 75% Irish speakers along with their population?
","SELECT `County`, `Irish name`, `Population`, `Irish speakers`
FROM table_1_101196_1
WHERE `Irish speakers` >= 75
ORDER BY `Population` DESC;",0.04573545977473259
"
    What is the total number of viewers and the count of seasons for each season of The Amazing Race?
    ","SELECT T1.`Season`, T1.`Timeslot ( ET )`, T1.`Season premiere`, T1.`Season finale`, T1.`TV season`, 
           SUM(T2.`Viewers (millions)`), COUNT(T2.`Viewers (millions)`) 
    FROM table_1_10120207_8 AS T1 
    JOIN table_1_10120207_8 AS T2 ON T1.`Season` = T2.`Season` 
    GROUP BY T1.`Season`
    ORDER BY T1.`Season` DESC;",0.1869593858718872
"
    What is the number of Australian involvements per UN operation?
    ","SELECT `UN Operation name`, COUNT(*) AS `Number of Australian Involvements`
    FROM `table_1_10121127_1`
    WHERE `Number of Australians involved` > 0
    GROUP BY `UN Operation name`
    ORDER BY `Number of Australian Involvements` DESC;",0.0
"
     What are the total winnings and average starts for each year of Terry Labonte's career, sorted by total winnings in descending order?
     ","SELECT `Year`, SUM(`Winnings`) AS Total_Winnings, AVG(`Starts`) AS Avg_Start
FROM table_1_1012730_1
GROUP BY `Year`
ORDER BY Total_Winnings DESC;",0.05339254066348076
" What metrics are calculated for each year in the NASCAR Nationwide Series, including the total number of starts, wins, top five finishes, top ten finishes, unique teams used, average starting position, average finishing position, highest winnings, and final position?","SELECT `Year`, `Starts`, `Wins`, SUM(`Top 5`) AS TopFive, SUM(`Top 10`) AS TopTen, COUNT(DISTINCT `Team(s)`) AS TeamsUsed, AVG(`Avg. Start`) AS AvgStart, AVG(`Avg. Finish`) AS AvgFinish, MAX(`Winnings`) AS HighestWinnings, `Position` 
    FROM `table_1_1012730_2` 
    GROUP BY `Year` 
    ORDER BY `Year` ASC;",1.5128209590911865
"
    What is the average Northern Ireland vote, total Northern England votes, highest Scotland vote, and lowest Wales vote for each song?
    ","SELECT 
        `Song`, 
        AVG(`Northern Ireland`) AS `Average Northern Ireland Votes`, 
        SUM(`Northern England`) AS `Total Northern England Votes`, 
        MAX(`Scotland`) AS `Highest Scotland Vote`, 
        MIN(`Wales`) AS `Lowest Wales Vote`
    FROM 
        table_1_10128185_2
    GROUP BY 
        `Song`;",1.2296712398529053
"
    How many vacancies occurred in each district listed?
    ","SELECT `District`, COUNT(*) AS `Number of Vacancies`
    FROM (
        SELECT DISTINCT `District`, `Reason for change`
        FROM `table_1_1013168_3`
        WHERE `Reason for change` LIKE '%resigned%'
            OR `Reason for change` LIKE '%died%'
            OR `Reason for change` LIKE '%Forced to resign%'
            OR `Reason for change` LIKE '%vacant%'
            OR `Reason for change` LIKE '%not filled%'
    )
    GROUP BY `District`;",7.513216972351074
"
What crystal structures and number of Cu-O planes per unit cell have critical temperatures greater than 100 K?
","SELECT `Crystal structure`, `No. of Cu-O planes in unit cell`
FROM `table_1_101336_1`
WHERE `T c (K)` > 100;",0.1376640647649765
" question:

What are the average populations for each city from the years 1981 to 2010?","SELECT `City`, AVG(`1981 Census`) AS avg_1981, AVG(`1991 Census`) AS avg_1991, AVG(`2001 Census`) AS avg_2001, AVG(`2010 Est.`) AS avg_2010 FROM table_1_10138926_1",0.4272255301475525
"
What is the total number of trains built for each operator in the years 1998-1999, 1999, 2002, and 2004?
","SELECT `Class`, `Operator`, COUNT(`No. Built`) AS TotalBuilt
FROM table_1_1015421_1
WHERE `Year Built` IN ('1998–1999', '1999', '2002', '2004')
GROUP BY `Class`, `Operator`
ORDER BY `TotalBuilt` DESC;",0.40613096952438354
"
    What is the name of the film with the highest title for the actor with the maximum film title?
    ","SELECT `Actors Name`, MAX(`Film Name`) AS Max_Film_Name
FROM `table_1_10236830_6`;",0.0009504519402980804
"
    Which assembly types, adhesives, times, temperatures, and pressures meet the criteria of being flex-based or using acrylic adhesive?
    ","SELECT 
        `Assembly Type`, 
        `Adhesive Type`, 
        `Time(Sec)`, 
        `Temp (°C)`, 
        `Pressure`
    FROM 
        table_1_10262329_1
    WHERE 
        (`Assembly Type` LIKE '%Flex%' OR `Adhesive Type` LIKE '%Acryl%')
    ORDER BY 
        CASE 
            WHEN `Assembly Type` LIKE '%Flex%' THEN 1
            ELSE 0
        END, 
        `Temp (°C)` DESC;",0.6115512251853943
"
    What is the name of the oldest representative based on the given data?
    ","SELECT `Representative`, MAX(`Age (years, days)`) AS `Oldest Representative`
    FROM table_1_10284385_1
    GROUP BY `Representative`
    ORDER BY `Oldest Representative` DESC
    LIMIT 1;",0.048963602632284164
" What question corresponds to the given SQLite query?

    ```
    In which year was the average BBC One total viewing the highest?
    ```","SELECT `Year`, AVG(`BBC One total viewing`)
     FROM `table_1_103084_4`",0.09102065861225128
"
    What camps had more than 300,000 estimated deaths?
    ","SELECT T1.`Camp`, T1.`Estimated deaths`, T1.`Operational`, T1.`Occupied territory`, T1.`Current country of location`, T1.`Primary means for mass killings`
    FROM `table_1_10335_1` AS T1
    WHERE T1.`Estimated deaths` > 300000
    ORDER BY T1.`Estimated deaths` DESC;",0.4913496673107147
" What are the round, choice, overall pick number, player's name, position, and college for players selected with an overall pick number of 25? ","SELECT `Round`, `Choice`, `Overall`, `Player name`, `Position`, `College` FROM `table_1_10361230_1` WHERE `Overall` = 25",0.2489406168460846
" Here's the generated natural language question:

    ","SELECT `Functional Type`, COUNT(*) 
    FROM `table_1_1036189_1`
    WHERE `Bullet Tip Color` IS NOT NULL AND `Other Features` IS NOT NULL
    GROUP BY `Functional Type`
    HAVING COUNT(*) > 1;",0.05382876470685005
" Here is the generated natural language question based on the provided SQLite query:

    ","SELECT 
        `Year`, 
        AVG(`Completions`) AS `Average Completions`, 
        MAX(`Yards`) AS `Maximum Yards`, 
        MIN(`Rating`) AS `Minimum Rating`
    FROM 
        `table_1_1037590_1`
    GROUP BY 
        `Year`
    ORDER BY 
        `Year`;",0.13030016422271729
"
    In how many school years did the team consist of only one distinct name?
    ","SELECT `School Year`, COUNT(*) AS TeamCount
    FROM (
        SELECT DISTINCT `School Year`, SUBSTR(`Class A`, 1, LENGTH(`Class A`) - 1) AS Team
        FROM `table_1_10399701_2`
    )
    GROUP BY `School Year`
    ORDER BY `School Year`;",0.09136050939559937
"
What songs were released on November 7, 2000?
",SELECT * FROM `table_1_10416547_1` WHERE `Date` = '2000-11-07';,0.11447928845882416
"
     Which teams had the highest average wins, most points, and lowest position across the specified seasons?
     ","SELECT `Team`, AVG(`Wins`) AS Avg_Wins, MAX(`Points`) AS Max_Points, MIN(`Position`) AS Min_Position
FROM `table_1_10420426_1`
WHERE `Season` BETWEEN '2005' AND '2011'
GROUP BY `Team`
ORDER BY `Max_Points` DESC;",0.08228506147861481
"
    How many regular season championships and playoff appearances did each team have per year?
    ","SELECT `Year`, `Division`, `League`, COUNT(`Regular Season`) AS RegularSeasonCount, SUM(CASE WHEN `Playoffs`!= 'Did not qualify' THEN 1 ELSE 0 END) AS PlayoffCount, SUM(CASE WHEN `Open Cup`!= 'Did not qualify' THEN 1 ELSE 0 END) AS OpenCupCount 
    FROM `table_1_1046071_1` 
    GROUP BY `Year`, `Division`, `League`
    ORDER BY `Year` DESC;",2.709449052810669
nan,"SELECT `Year`, `Division`, `League`, 
           CASE 
               WHEN (`Regular Season` LIKE '%Qualify%' AND `Playoffs` LIKE '%Qualify%') THEN 'Both'
               WHEN (`Regular Season` LIKE '%Qualify%' OR `Playoffs` LIKE '%Qualify%') THEN 'At Least One'
               ELSE 'Neither' END AS QualificationStatus
    FROM `table_1_1046454_1`
    ORDER BY `Year` ASC;",4.923151969909668
"```What are the titles, directors, writers, and count of US air dates for episodes released in June or July?```","SELECT T1.`Title`, T1.`Director`, T1.`Writer`, COUNT(*) AS `Number of Air Dates`
    FROM `table_1_10470082_3` AS T1
    INNER JOIN (
        SELECT `Title`, GROUP_CONCAT(`US air date`, ', ') AS `US air dates`
        FROM `table_1_10470082_3`
        GROUP BY `Title`
    ) AS T2
    ON T1.`Title` = T2.`Title`
    WHERE T1.`US air date` LIKE '%June%' OR T1.`US air date` LIKE '%July%'
    GROUP BY T1.`Title`, T1.`Director`, T1.`Writer`
    ORDER BY `Number of Air Dates` DESC;",9.471649169921875
"
What are the titles of episodes that have the same writer for another episode in the list?
","SELECT T1.`Title`, T1.`Writer`, T2.`Writer`
    FROM `table_1_10470082_6` AS T1
    JOIN `table_1_10470082_6` AS T2 ON T1.`No.` = T2.`No.` - 1
    WHERE T1.`Writer` IS NOT NULL AND T2.`Writer` IS NOT NULL;",0.03462279215455055
"
What was the Storyteller and Villains for the episode with the latest US air date?
","SELECT `Storyteller`, `Villains`
FROM `table_1_10470082_7`
WHERE `US air date` = (
    SELECT MAX(`US air date`)
    FROM `table_1_10470082_7`
)",0.370230108499527
"
What are the titles of the episodes and how many times each title appears?
","SELECT `Title`, COUNT(*) AS EpisodeCount
FROM `table_1_10470082_8`
GROUP BY `Title`;",0.024656567722558975
" question:

What are the average sepal and petal dimensions and the total count for each species?","SELECT `Species`, COUNT(*) AS `Total Count`, AVG(`Sepal length`) AS `Average Sepal Length`, AVG(`Sepal width`) AS `Average Sepal Width`, AVG(`Petal length`) AS `Average Petal Length`, AVG(`Petal width`) AS `Average Petal Width`
FROM `table_1_10477224_1`
GROUP BY `Species`;",6.272448539733887
"
     What countries joined their WOSM-affiliated scouting organization after 1990 and accept both boys and girls?
     ","SELECT `Country`, `Year current Scouting organization joined WOSM`, `Year member organization was founded`, `Admits boys/girls`
FROM table_1_104858_1
WHERE `Admits boys/girls` = 'both'
AND `Year current Scouting organization joined WOSM` > 1990
ORDER BY `Year current Scouting organization joined WOSM` DESC;",0.7446479797363281
"
    How many seasons have been won in each region or country listed?
    ","SELECT `Region/country`, COUNT(*) AS `Number of Seasons`
    FROM (
        SELECT `Region/country`, `Seasons` 
        FROM (
            SELECT `Region/country`, `Winners` AS `Seasons`
            FROM `table_1_1053802_1`
            WHERE `Winners` LIKE '%Season%'
        )
    )
    GROUP BY `Region/country`
    ORDER BY `Number of Seasons` DESC;",3.952267646789551
 ```What seasons did Swindon Town play more than 15 league games and over 1 cup game?```,"SELECT `Season`, `Team`, SUM(`League Apps`) AS TotalLeagueApps, SUM(`Cup Apps`) AS TotalCupApps 
    FROM table_1_10556257_1 
    GROUP BY `Season`, `Team` 
    HAVING TotalLeagueApps > 15 AND TotalCupApps > 1;",0.11645331978797913
" '''

    ```What are the serial numbers, wheel arrangements, operational owners, and dispositions of the steam locomotives listed?```","SELECT `Serial number`, `Wheel arrangement ( Whyte notation )`, `Operational owner(s)`, `Disposition`
FROM `table_1_1057316_1`",0.20063099265098572
