original_text,translation,entities_found,entities,filtered,length_ratio,detected_language,semantic_similarity,back_translation_similarity,combined_similarity,quality_stage,filter_reason
What is the total number of slogans for each state or territory listed in the table?,¿Cuál es el número total de consignas para cada estado o territorio que figuran en la tabla?,0,,False,1.0952380952380953,es,0.8458604216575623,1.0,0.938344168663025,semantic_back_pass,
"What are the manufacturers, models, fleet series (quantity), powertrains, and fuel propulsion for each distinct group of these attributes?","¿Cuáles son los fabricantes, modelos, series de flota (cuantidad), motores y propulsión de combustible para cada grupo distinto de estos atributos?",0,,False,1.065217391304348,es,0.9458832740783691,0.9789083003997803,0.9656982898712159,semantic_back_pass,
Which positions have multiple players on the roster and what is the count of players per position?,¿Qué posiciones tienen múltiples jugadores en la lista y cuál es el número de jugadores por posición?,0,,False,1.030612244897959,es,0.9126224517822266,0.9398793578147888,0.9289765954017639,semantic_back_pass,
Could you provide me with the details of players who spent 2005 or 2006 years with the Toronto Raptors?,¿Podría proporcionarme los detalles de los jugadores que pasaron 2005 o 2006 años con los Raptors de Toronto?,1,Toronto Raptors,False,1.058252427184466,es,0.9852256774902344,0.9960718750953674,0.9917333960533141,semantic_back_pass,
What is the breakdown of positions and the count of players associated with each position in the Toronto Raptors roster?,¿Cuál es la división de posiciones y el recuento de jugadores asociados a cada posición en la lista de los Raptors de Toronto?,2,"Toronto, Toronto Raptors",False,1.05,es,0.9358709454536438,0.9719822406768799,0.9575377225875854,semantic_back_pass,
"For each dam type, what is the average height and the maximum height?",,0,,True,,,0.7727404832839966,0.6295081973075867,0.6868011116981507,,semantic_back_review
"What organizations were founded between 1988 and 2011, including their member name, headquarters location, classification, number of chapters, and year of founding?","¿Qué organizaciones fueron fundadas entre 1988 y 2011, incluyendo el nombre de sus miembros, la ubicación de la sede, la clasificación, el número de capítulos y el año de fundación?",0,,False,1.103658536585366,es,0.984274685382843,0.9912983775138855,0.9884889006614686,semantic_back_pass,
"What were the average incidences of typhus, typhoid fever, relapsing fever, smallpox, and malaria each year, and what was the total average for each disease across the years?","¿Cuáles eran las incidencias promedio de tifus, fiebre tifoidea, fiebre recurrente, viruela y malaria cada año, y cuál fue la media total de cada enfermedad a lo largo de los años?",0,,False,1.0344827586206897,es,0.9162000417709351,0.9731439352035522,0.9503663778305054,semantic_back_pass,
"Can you provide the season number, network, start date, end date, TV season rank, and the cumulative number of viewers for each season, sorted by TV season rank in descending order?","¿Puede proporcionar el número de temporada, la red, la fecha de inicio, la fecha de final, el rango de temporada de televisión y el número acumulado de espectadores para cada temporada, ordenados por rango de temporada de televisión en orden decreciente?",0,,False,1.4033149171270718,es,0.9015103578567505,0.9085867404937744,0.9057561874389648,semantic_back_pass,
"Could you provide the total population, number of Chinese, Filipino, Indian, Japanese, Korean, Vietnamese, and Other Asian residents for each state or territory?","¿Podría indicar el número total de habitantes de China, Filipinas, India, Japón, Corea, Vietnam y otros residentes asiáticos de cada estado o territorio?",7,"Chinese, Indian, Japanese, Korean, Vietnamese, Asian, Filipino",False,0.9503105590062112,es,0.903408408164978,0.8836870193481445,0.8915755748748779,semantic_back_pass,
"What is the population density (population per square kilometer) for each regional county municipality in the 2011 census, using the land area given in kilometers squared, and sorted by density in descending order?","¿Cuál es la densidad de población (población por kilómetro cuadrado) para cada municipio del condado regional en el censo de 2011, utilizando el área de tierra dada en kilómetros cuadrados, y ordenada por densidad en orden descendente?",0,,False,1.0981308411214954,es,0.9571828246116638,0.9972610473632812,0.9812297582626344,semantic_back_pass,
"Which counties have a higher than 50 percent rate of Irish speakers, including their county names, populations, and the percentage of Irish speakers?","¿Qué condados tienen una tasa de hablantes de irlandés superior al 50 por ciento, incluyendo sus nombres de condados, poblaciones y el porcentaje de hablantes de irlandés?",1,Irish,False,1.1476510067114094,es,0.9743549227714539,0.9867743849754333,0.9818066000938415,semantic_back_pass,
"Which UN operations had Australian involvement more than once, and what is the total count of times Australian forces were engaged?","¿Qué operaciones de la ONU tuvieron Australia involucrada más de una vez, y cuál es el número total de veces que las fuerzas australianas participaron?",2,"UN, Australian",False,1.1526717557251909,es,0.9741356372833252,0.9695575833320618,0.9713888049125672,semantic_back_pass,
"Calculate the total score for Northern Ireland, Northern England, Scotland, Southern England, and Wales combined, and find the difference between the sum of Mobile votes and this total.","Calcule el puntaje total para Irlanda del Norte, Norte de Inglaterra, Escocia, el sur de Inglaterra y Gales combinados, y encuentre la diferencia entre la suma de votos móviles y este total.",6,"Northern Ireland, Northern England, Scotland, Southern England, Wales, Mobile",False,1.027027027027027,es,0.9376275539398193,0.997592031955719,0.9736062407493591,semantic_back_pass,
What is the total number of players for each position listed in the table?,¿Cuál es el número total de jugadores para cada posición que figura en la tabla?,0,,False,1.0810810810810811,es,0.9761357307434082,0.992128312587738,0.9857312798500061,semantic_back_pass,
What is the distribution of players across positions in the 1994 NHL Entry Draft?,¿Cuál es la distribución de jugadores entre posiciones en el Borrador de Entrada de la NHL de 1994?,2,"Draft, NHL",False,1.2222222222222223,es,0.9370748996734619,0.989755392074585,0.9686831951141357,semantic_back_pass,
"What is the count of players per position in the 1994 NHL Entry Draft, sorted in descending order?","¿Cuál es el número de jugadores por posición en el Draft de entrada de la NHL de 1994, ordenados en orden decreciente?",1,NHL,False,1.2040816326530612,es,0.9181782007217407,0.9785621166229248,0.9544085502624511,semantic_back_pass,
"For picks greater than 182, what are the corresponding player names, positions, and nationalities?","Para las opciones mayores a 182, ¿cuáles son los nombres, posiciones y nacionalidades correspondientes de los jugadores?",0,,False,1.2244897959183674,es,0.9268779158592224,0.9009539484977722,0.9113235354423523,semantic_back_pass,
"List the districts and the dates when successors were seated for vacators who left their positions between the dates of death or resignation, and the successors were not listed as Vacant?","¿Enumera los distritos y las fechas en que se pusieron a los sucesores para los vacantes que dejaron sus puestos entre las fechas de muerte o renuncia, y los sucesores no se enumeran como Vacantes?",0,,False,1.053475935828877,es,0.9210562705993652,0.9111477136611938,0.9151111364364624,semantic_back_pass,
"What are the average 1981 Census, 1991 Census, 2001 Census, 2010 Est., and the census increase period for each city?","¿Cuál es el promedio del censo de 1981, del censo de 1991, del censo de 2001, del censo de 2010, y el período de aumento del censo para cada ciudad?",0,,False,1.2758620689655173,es,0.9096699953079224,0.943510115146637,0.9299740672111511,semantic_back_pass,
What is the total number of trains built for each class listed in the table?,¿Cuál es el número total de trenes construidos para cada clase que figura en la tabla?,0,,False,1.131578947368421,es,0.973540723323822,0.9959371089935303,0.9869785547256469,semantic_back_pass,
"For each driver's position and series, what is the total points and the highest winnings, sorted by total points and then by largest winnings in descending order?","¿Cuál es el total de puntos y las ganancias más altas, ordenadas por puntos totales y luego por las ganancias más grandes en orden descendente?",0,,False,0.8827160493827161,es,0.7211225032806396,0.7379273772239685,0.731205427646637,semantic_back_pass,
Which director has directed the most episodes and what is the total count of episodes they directed?,¿Qué director ha dirigido más episodios y cuál es el número total de episodios que dirigieron?,0,,False,0.94,es,0.9495590925216675,0.9508006572723389,0.9503040313720703,semantic_back_pass,
"Which films were nominated only once and won an award, including their original titles?","¿Qué películas fueron nominadas sólo una vez y ganaron un premio, incluyendo sus títulos originales?",0,,False,1.1494252873563218,es,0.9691963195800781,0.9999998807907104,0.9876784563064576,semantic_back_pass,
"Could you list the operational periods, primary methods of mass killings, and the total number of estimated deaths for camps that had more than 100,000 estimated deaths?","¿Podría enumerar los períodos de operación, los métodos principales de asesinatos masivos y el número total de muertes estimadas en los campos que tenían más de 100.000 muertes estimadas?",0,,False,1.106508875739645,es,0.9718776345252991,0.976672351360321,0.9747544646263122,semantic_back_pass,
Find the round and overall pick number for the quarterback selected in the highest overall position across all rounds.,Encuentra el número de ronda y la selección general del quarterback seleccionado en la posición general más alta en todas las rondas.,0,,False,1.1271186440677967,es,0.8995848894119263,0.9905606508255005,0.9541703462600708,semantic_back_pass,
"What positions, colleges, and number of players were chosen between the 200th and 300th overall picks?","¿Qué posiciones, universidades y número de jugadores fueron elegidos entre las 200 y 300 selecciones generales?",1,300th,False,1.088235294117647,es,0.9338555932044983,0.929767906665802,0.9314029812812805,semantic_back_pass,
"List the dates, opponents, and results of the games where the Minnesota Vikings had a record of 6-2 or 7-2, including both the Vikings' score and the opponents' score.","Enumera las fechas, oponentes y resultados de los juegos en los que el Vikingo de Minnesota tuvo un récord de 6-2 o 7-2, incluyendo tanto el puntaje del Vikingo como el puntaje de los oponentes.",4,"the Minnesota Vikings, Vikings, Minnesota Vikings, Vikings'",False,1.1616766467065869,es,0.9553925395011902,0.9932460188865662,0.9781046271324157,semantic_back_pass,
"What is the product type for each group of headstamp ID, primer annulus color being purple, other features being step in bullet jacket, or functional type not matching these criteria, and how many times does each appear?","¿Cuál es el tipo de producto para cada grupo de ID de casco, el color del anulo principal es púrpura, otras características son paso en chaqueta de bala, o el tipo funcional que no coincide con estos criterios, y cuántas veces aparece cada uno?",0,,False,1.1090909090909091,es,0.8587293028831482,0.8516536355018616,0.8544839024543762,semantic_back_pass,
What was Joey Harrington's performance in the year he played the most games and had fewer interceptions than the average?,¿Cuál fue el rendimiento de Joey Harrington en el año en que jugó más partidos y tuvo menos intercepciones que el promedio?,2,"Joey Harrington's, Joey Harrington",False,1.0165289256198347,es,0.9606513381004333,0.9844991564750671,0.9749600291252136,semantic_back_pass,
"What is the lead role for each character if there is a performance listed for Australia and New Zealand, otherwise what is the lead role from the UK tour?","¿Cuál es el papel principal de cada personaje si hay una actuación listada para Australia y Nueva Zelanda, de lo contrario, ¿cuál es el papel principal de la gira del Reino Unido?",3,"Australia, New Zealand, UK",False,1.1623376623376624,es,0.9333683848381042,0.9624325633049011,0.9508068919181825,semantic_back_pass,
Which episodes have the highest season numbers along with their respective original air dates?,¿Qué episodios tienen el número de temporadas más alto junto con sus respectivas fechas de emisión originales?,0,,False,1.1702127659574468,es,0.9416431784629822,0.9802746176719666,0.9648220419883728,semantic_back_pass,
What are the average U.S. viewership and the highest U.S. viewership for episodes set in 1540?,¿Cuál es el promedio de espectadores en Estados Unidos y el mayor número de espectadores en Estados Unidos para episodios ambientados en 1540?,1,U.S.,False,1.5106382978723405,es,0.9410626888275146,0.9642221331596375,0.9549583554267883,semantic_back_pass,
"For each date, what is the total number of tracks and which genres do they fall under: R&B, Hip-hop, Electronic, Rock, and Pop?","¿Cuál es el número total de canciones para cada fecha y a qué géneros pertenecen: R&B, Hip-hop, Electronic, Rock y Pop?",1,Rock,False,0.937007874015748,es,0.9103977680206299,0.9368358254432678,0.9262606024742126,semantic_back_pass,
"What were the years, divisions, leagues, regular season standings, playoffs achievements, and open cup results for each year in descending order?","¿Cuáles fueron los años, divisiones, ligas, clasificaciones de temporada regular, logros de los playoffs y resultados de la Copa Abierta para cada año en orden decreciente?",0,,False,1.186206896551724,es,0.9233173131942749,0.9913378953933716,0.964129662513733,semantic_back_pass,
What are the villains associated with each story and how many times does each villain appear?,¿Cuáles son los villanos asociados con cada historia y cuántas veces aparece cada villan?,0,,False,0.956989247311828,es,0.9497548937797546,1.0,0.9799019575119019,semantic_back_pass,
"For episodes airing in October, what are the titles along with their count of airings?","Para los episodios que se emiten en octubre, ¿cuáles son los títulos junto con su número de emisiones?",0,,False,1.186046511627907,es,0.9692404270172119,0.9515429735183716,0.9586219549179077,semantic_back_pass,
Identify the episodes where the writer and storyteller are the same person.,Identifique los episodios en los que el escritor y el narrador son la misma persona.,0,,False,1.12,es,0.9529035687446594,0.9561181664466858,0.9548323273658752,semantic_back_pass,
"What are the titles of episodes that had their US air dates starting with February, and how many times did each episode air?","¿Cuáles son los títulos de los episodios que tuvieron sus fechas de emisión en Estados Unidos a partir de febrero, y cuántas veces se emitió cada episodio?",1,US,False,1.25,es,0.9404701590538025,0.9698097109794617,0.958073890209198,semantic_back_pass,
