nl,sql,db_sql,db_result,table_id,schema_change_type
Meaghan Francella 在哪些年份没有赢得任何锦标赛，但进入了前十名？请列出这些年份以及她相应的收入，并按收入从高到低排序。,"
SELECT `Year`, `Earnings ($)` FROM `table_1_10021158_3` WHERE `Wins` < 1 AND `Top 10s` > 0 ORDER BY `Earnings ($)` DESC;
","
SELECT col0, col7 FROM `table_1_10021158_3` WHERE col3 < 1 AND col5 > 0 ORDER BY col7 DESC;
","[(2009.0, 292266.0), (2010.0, 168016.0)]",table_1_10021158_3,
Meaghan Francella 在哪些年份没有赢得任何锦标赛，但进入了前十名？请列出这些年份以及她相应的收入，并按收入从高到低排序。,"
SELECT `tournament_year`, `Earnings ($)` FROM `table_m_1765006485884_9fb09baf_10021158_3` WHERE `Wins` < 1 AND `Top 10s` > 0 ORDER BY `Earnings ($)` DESC;
","
SELECT col0, col7 FROM `table_m_1765006485884_9fb09baf_10021158_3` WHERE col3 < 1 AND col5 > 0 ORDER BY col7 DESC;
","[(2009.0, 292266.0), (2010.0, 168016.0)]",m_1765006485884_9fb09baf_10021158-3,
为了进行形态变异分析，请展示在 Kalau Kawau Ya、Kawalgau Ya 及其他相关方言中，与格和夺格的后缀是如何表现的。,"
SELECT ``, `Kalau Kawau Ya`, `Kawalgau Ya`, `Kalaw Lagaw Ya`, `Kulkalgau Ya`, `Kauraraigau Ya (Kowrareg)` FROM `table_1_1015914_15` WHERE `` IN (`Dative`, `Ablative`);
","
SELECT col0, col1, col2, col3, col4, col5 FROM `table_1_1015914_15` WHERE col0 LIKE 'Dative' OR col0 LIKE 'Ablative';
","[('dative', '-pa', '-pa (-ka)', '-ka (-pa)', '-ka (-pa)', '-pa[rri] (-ka)'), ('ablative', '-ngu(z), -z(i)', '-ngu, -z(i)', '-ngu, -zi', '-ngu, -z(i)', '-nguzi, -zi')]",table_1_1015914_15,
为了进行形态变异分析，请展示在 Kalau Kawau Ya、Kawalgau Ya 及其他相关方言中，与格和夺格的后缀是如何表现的。,"SELECT ``, `Kalau Kawau Ya`, `Kawalgau Ya`, `Kalaw Lagaw Ya`, `Kulkalgau Ya`, `Kauraraigau_Ya`
FROM `table_m_1765006588322_2ebc761a_1015914_15`
WHERE `` IN ('Dative', 'Ablative')
  AND `dialect` = 'Kowrareg';","SELECT col0, col1, col2, col3, col4, col5
FROM `table_m_1765006588322_2ebc761a_1015914_15`
WHERE col0 IN ('Dative', 'Ablative')
  AND col6 = 'Kowrareg';","[('Dative', '-pa', '-pa (-ka)', '-ka (-pa)', '-ka (-pa)', 'ngi'), ('Ablative', '-ngu(z), -z(i)', '-ngu, -z(i)', '-ngu, -zi', '-ngu, -z(i)', 'ngi')]",m_1765006588322_2ebc761a_1015914-15,
为了评估IROC XX赛季中不同赛事的表现，能否创建一个汇总表？我希望看到各个系列赛按照其车手赢得的总奖金进行排名，并请在表中包含每个系列赛的车手数量和平均积分。,"
SELECT `Series`, COUNT(`Driver`) AS `NumberOfDrivers`, AVG(`Points`) AS `AveragePoints`, SUM(CAST(REPLACE(REPLACE(`Winnings`, '$', ''), ',', '') AS REAL)) AS `TotalWinnings` FROM `table_1_10160447_1` GROUP BY `Series` ORDER BY `TotalWinnings` DESC;
","
SELECT col4, COUNT(col1) AS `NumberOfDrivers`, AVG(col2) AS `AveragePoints`, SUM(CAST(REPLACE(REPLACE(col3, '$', ''), ',', '') AS REAL)) AS `TotalWinnings` FROM `table_1_10160447_1` GROUP BY col4 ORDER BY `TotalWinnings` DESC;
","[('nascar winston cup', 6, 40.666666666666664, 435000.0), ('indy car', 3, 47.333333333333336, 185000.0), ('nascar busch series', 1, 50.0, 60000.0), ('scca trans-am series', 1, 36.0, 40000.0)]",table_1_10160447_1,
为了评估IROC XX赛季中不同赛事的表现，能否创建一个汇总表？我希望看到各个系列赛按照其车手赢得的总奖金进行排名，并请在表中包含每个系列赛的车手数量和平均积分。,"
SELECT `Series`, COUNT(`Driver`) AS `NumberOfDrivers`, AVG(`Score`) AS `AveragePoints`, SUM(CAST(REPLACE(REPLACE(`Prize`, '$', ''), ',', '') AS REAL)) AS `TotalWinnings` FROM `table_m_1765006600371_468fd710_10160447_1` GROUP BY `Series` ORDER BY `TotalWinnings` DESC;
","
SELECT col4, COUNT(col1) AS `NumberOfDrivers`, AVG(col2) AS `AveragePoints`, SUM(CAST(REPLACE(REPLACE(col3, '$', ''), ',', '') AS REAL)) AS `TotalWinnings` FROM `table_m_1765006600371_468fd710_10160447_1` GROUP BY col4 ORDER BY `TotalWinnings` DESC;
","[('NASCAR Winston Cup', 6, 40.666666666666664, 435000.0), ('Indy Car', 3, 47.333333333333336, 185000.0), ('NASCAR Busch Series', 1, 50.0, 60000.0), ('SCCA Trans-Am Series', 1, 36.0, 40000.0)]",m_1765006600371_468fd710_10160447-1,
George Utley 在哪些赛季中，既在英格兰足总杯取得进球，又参加了总共超过40场比赛？请提供这些赛季的名称和总进球数，并按总进球数从少到多排序。,"
WITH `CupScoringSeasons` AS (SELECT `Season`, `Total Goals`, `Total Apps` FROM `table_1_10240125_1` WHERE `FA Cup Goals` > `0`) SELECT `Season`, `Total Goals` FROM `CupScoringSeasons` WHERE `Total Apps` > `40` ORDER BY `Total Goals` ASC;
","WITH `CupScoringSeasons` AS (SELECT col0, col7, col6 FROM `table_1_10240125_1` WHERE col5 > 0) SELECT col0, col7 FROM `CupScoringSeasons` WHERE col6 > 40 ORDER BY col7 ASC;","[('1909–10', 1.0)]",table_1_10240125_1,
George Utley 在哪些赛季中，既在英格兰足总杯取得进球，又参加了总共超过40场比赛？请提供这些赛季的名称和总进球数，并按总进球数从少到多排序。,"WITH `CupScoringSeasons` AS (
  SELECT 
    `Season_Start_Year`,
    `Season_End_Year`,
    `Total Goals`,
    `Total Apps`
  FROM `table_m_1765006633898_a5f69cff_10240125_1`
  WHERE `FA Cup Goals` > 0
)
SELECT 
  `Season_Start_Year`,
  `Season_End_Year`,
  `Total Goals`
FROM `CupScoringSeasons`
WHERE `Total Apps` > 40
ORDER BY `Total Goals` ASC;","WITH `CupScoringSeasons` AS (
  SELECT 
    col7,
    col8,
    col6,
    col5
  FROM `table_m_1765006633898_a5f69cff_10240125_1`
  WHERE col4 > 0
)
SELECT 
  col7,
  col8,
  col6
FROM `CupScoringSeasons`
WHERE col5 > 40
ORDER BY col6 ASC;","[(1908, 1910, 1.0)]",m_1765006633898_a5f69cff_10240125-1,
请找出所有符合以下条件的功能，并按字母顺序列出：其对应的耶尔森菌属蛋白质名称以'Y'开头，且对应的埃希氏菌属蛋白质名称以'E'开头。,"
SELECT `↓ Function / Genus →` AS `Correlated Function` FROM `table_1_10321124_1` WHERE `Yersinia` LIKE 'Y%' AND `Escherichia` LIKE 'E%' ORDER BY `Correlated Function` ASC;
","
SELECT col0 AS `Correlated Function` FROM `table_1_10321124_1` WHERE col3 LIKE 'Y%' AND col4 LIKE 'E%' ORDER BY `Correlated Function` ASC;
","[('inner rod',), ('needle monomer',), ('switch',), ('translocator',), ('translocator',)]",table_1_10321124_1,
请找出所有符合以下条件的功能，并按字母顺序列出：其对应的耶尔森菌属蛋白质名称以'Y'开头，且对应的埃希氏菌属蛋白质名称以'E'开头。,"SELECT `↓ Function / Genus →` AS `Correlated Function`
FROM `table_m_1765006681453_dc249791_10321124_1`
WHERE `Yersinia` LIKE 'Y%'
  AND `Escherichia` LIKE 'E%'
ORDER BY `Correlated Function` ASC;","SELECT col0 AS `Correlated Function`
FROM `table_m_1765006681453_dc249791_10321124_1`
WHERE col2 LIKE 'Y%'
  AND col3 LIKE 'E%'
ORDER BY `Correlated Function` ASC;","[('Inner rod',), ('Needle monomer',), ('Switch',), ('Translocator',), ('Translocator',)]",m_1765006681453_dc249791_10321124-1,
